	      Значение коэффициента Khb,Kfb
+-------+----------------+----------------------------------------------+
|       |  Твердость на  |                                              |
|       |  поверхности   |      Значения для схемы передачи             |
| Fid   |зубьев колеса,HV|        Khb                  Kfb              |
|       |----------------+----------------------------------------------+
|       |  MIN  |  MAX   |  1   |  2   |  3   |  1   |  2   |  3   |beta|
+-------+----------------+----------------------------------------------+
| 0.2   | 0     |  350   | 1.07 | 1.03 | 1.01 | 1.13 | 1.07 | 1.02 | 0  |bet=0
| 0.2   | 0     |  350   | 1.07 | 1.03 | 1.01 | 1.07 | 1.03 | 1.02 | 1  |bet>0
| 0.2   | 350   |   -    | 1.17 | 1.08 | 1.02 | 1.22 | 1.13 | 1.04 | 0  |bet=0
| 0.2   | 350   |   -    | 1.08 | 1.03 | 1.01 | 1.15 | 1.08 | 1.03 | 1  |bet>0
| 0.4   | 0     |  350   | 1.14 | 1.07 | 1.03 | 1.30 | 1.14 | 1.06 | 0  |
| 0.4   | 0     |  350   | 1.14 | 1.07 | 1.03 | 1.12 | 1.08 | 1.03 | 1  |
| 0.4   | 350   |   -    | 1.33 | 1.19 | 1.08 | 1.55 | 1.28 | 1.05 | 0  |
| 0.4   | 350   |   -    | 1.15 | 1.09 | 1.02 | 1.24 | 1.15 | 1.08 | 1  |
| 0.6   | 0     |  350   | 1.23 | 1.12 | 1.05 | 1.47 | 1.23 | 1.04 | 0  |
| 0.6   | 0     |  350   | 1.23 | 1.12 | 1.05 | 1.21 | 1.11 | 1.17 | 1  |
| 0.6   | 350   |   -    | 1.53 | 1.30 | 1.12 | 1.95 | 1.48 | 1.09 | 0  |
| 0.6   | 350   |   -    | 1.28 | 1.15 | 1.05 | 1.41 | 1.23 | 1.05 | 1  |
| 0.8   | 0     |  350   | 1.45 | 1.18 | 1.07 | 1.63 | 1.33 | 1.12 | 0  |
| 0.8   | 0     |  350   | 1.45 | 1.18 | 1.07 | 1.31 | 1.17 | 1.06 | 1  |
| 0.8   | 350   |   -    | 1.73 | 1.42 | 1.18 | 2.35 | 1.68 | 1.24 | 0  |
| 0.8   | 350   |   -    | 1.39 | 1.22 | 1.08 | 1.60 | 1.32 | 1.12 | 1  |
+-------+----------------+----------------------------------------------+
1-передача А, опоры на шариковых подшипниках
2-передача А, опоры на роликовых подшипниках
3-передача Б
