	      Ќоминальный диаметр зуборезной головки
                     ќсева€ форма I
+------------+----------------+------------------------------------------------+
|угол        |  ѕределы       | Ќоминальн   |          |         |		 |
|наклона     |средн конусного | диаметр     | ¬нешн€€  | Ўирина  | –асчетн     |
|зуба        |  рассто€н R    | зуборезн    | высота   | зубчат  | нормальный  |
| bn,        |----------------+ головки     | зуба     | венца   | модуль      |
|            |рекомен| допуст |   d0        |    he    |  b      |    mn       |
+------------+----------------+------------------------------------------------+
|от 0 до 15  | 40-65 |   -    |   100       |     9    |  10-20  |    2-3      |
|св 15 до 29 | 45-70 |   -    |   100       |     9    |  10-20  |    2-3      |
|св 29 до 40 | 45-60 |   -    |   100       |     9    |  10-20  |    2-3      |
|от 0 до 15  | 50-80 |   -    |   125       |    10    |  12-25  |    2-3.5    |
|св 15 до 29 | 55-90 |   -    |   125       |    10    |  12-25  |    2-3.5    |
|св 29 до 40 | 55-75 |   -    |   125       |    10    |  12-25  |    2-3.5    |
|от 0 до 15  | 65-105|   -    |   160       |    12    |  16-32  |  2.5-4      |
|св 15 до 29 | 72-110|   -    |   160       |    12    |  16-32  |  2.5-4      |
|св 29 до 40 | 72-95 |   -    |   160       |    12    |  16-32  |  2.5-4      |
|от 0 до 15  | 80-130|   -    |   200       |    15    |  20-40  |  2.5-5      |
|св 15 до 29 | 90-140|   -    |   200       |    15    |  20-40  |  2.5-5      |
|св 29 до 40 | 90-120|   -    |   200       |    15    |  20-40  |  2.5-5      |
|от 0 до 15  |100-160|   -    |   250       |    18    |  25-50  |  2.5-6      |
|св 15 до 29 |110-175|   -    |   250       |    18    |  25-50  |  2.5-6      |
|св 29 до 40 |110-150|   -    |   250       |    18    |  25-50  |  2.5-6      |
|от 0 до 15  |120-200|   -    |   315       |    24    |  32-65  |  2.5-9      |
|св 15 до 29 |140-220|   -    |   315       |    24    |  32-65  |  2.5-9      |
|св 29 до 40 |140-190|   -    |   315       |    24    |  32-65  |  2.5-9      |
|от 0 до 15  |160-250|   -    |   400       |    30    |  40-80  |    3-10     |
|св 15 до 29 |180-280|   -    |   400       |    30    |  40-80  |    3-10     |
|св 29 до 40 |180-240|   -    |   400       |    30    |  40-80  |    3-10     |
|от 0 до 15  |200-320|   -    |   500       |    36    |  50-100 |    4-12     |
|св 15 до 29 |225-350|   -    |   500       |    36    |  50-100 |    4-12     |
|св 29 до 40 |225-300|   -    |   500       |    36    |  50-100 |    4-12     |
|от 0 до 15  |250-400|   -    |   630       |    45    |  70-125 |    4-16     |
|св 15 до 29 |290-440|   -    |   630       |    45    |  70-125 |    4-16     |
|св 29 до 40 |290-380|   -    |   630       |    45    |  70-125 |    4-16     |
|от 0 до 15  |320-520|   -    |   800       |    60    |  80-160 |    5-20     |
|св 15 до 29 |360-560|   -    |   800       |    60    |  80-160 |    5-20     |
|св 29 до 40 |360-480|   -    |   800       |    60    |  80-160 |    5-20     |
|от 15 до 29 |400-650|   -    |   1000      |    80    | 100-200 |    6-25     |
|св 29 до 40 |450-600|   -    |   1000      |    80    | 100-200 |    6-25     |
+------------+----------------+------------------------------------------------+
