	      Ќоминальный диаметр зуборезной головки
                     ќсева€ форма II
+------------+----------------+------------------------------------------------+
|угол        |  ѕределы       | Ќоминальн   |          |         |		 |
|наклона     |средн конусного | диаметр     | ¬нешн€€  | Ўирина  | –асчетн     |
|зуба        |  рассто€н R    | зуборезн    | высота   | зубчат  | нормальный  |
| bn,        |----------------+ головки     | зуба     | венца   | модуль      |
|            |рекомен| допуст |   d0        |    he    |  b      |    mn       |
+------------+----------------+------------------------------------------------+
|от 0 до 15  | 8-13  |   -    |   20       |    3     |  1.6-5   |  0.4-0.8    |
|св 15 до 45 | 8-13  |  6-14  |   20       |    3     |  1.6-5   |  0.4-0.8    |
|от 0 до 15  | 10-16 |   -    |   25       |    3     |  2-6     |  0.4-1      |
|св 15 до 45 | 10-16 |  7-18  |   25       |    3     |  2-6     |  0.4-1      |
|от 0 до 15  | 13-21 |   -    |   32       |    4     |  2.5-8   |  0.4-1.25   |
|св 15 до 45 | 13-21 | 10-22  |   32       |    4     |  2.5-8   |  0.4-1.25   |
|от 0 до 15  | 16-26 |   -    |   40       |    5     |  3-10    |  0.4-1.5    |
|св 15 до 45 | 16-26 | 12-28  |   40       |    5     |  3-10    |  0.4-1.5    |
|от 0 до 15  | 20-32 |   -    |   50       |    6     |  4-12    |  0.6-2      |
|св 15 до 45 | 20-32 | 15-35  |   50       |    6     |  4-12    |  0.6-2      |
|от 0 до 15  | 24-40 |   -    |   60       |    7     |  5-15    |  0.6-2      |
|св 15 до 45 | 24-40 | 18-42  |   60       |    7     |  5-15    |  0.6-2      |
|от 0 до 15  | 32-52 |   -    |   80       |    8     |  6-20    |    1-2.5    |
|св 15 до 45 | 32-52 | 24-56  |   80       |    8     |  6-20    |    1-2.5    |
|от 0 до 15  | 40-65 |   -    |  100       |    9     |  8-25    |    1-3      |
|св 15 до 45 | 40-65 | 30-70  |  100       |    9     |  8-25    |    1-3      |
|от 0 до 15  | 50-80 |   -    |  125       |   10     | 10-30    |    1-3.5    |
|св 15 до 45 | 50-80 | 40-90  |  125       |   10     | 10-30    |    1-3.5    |
|от 0 до 15  | 65-105|   -    |  160       |   12     | 13-40    |  1.5-4      |
|св 15 до 45 | 65-105| 50-110 |  160       |   12     | 13-40    |  1.5-4      |
|от 0 до 15  | 80-130|   -    |  200       |   15     | 16-50    |    2-5      |
|св 15 до 45 | 80-130| 60-140 |  200       |   15     | 16-50    |    2-5      |
|от 0 до 15  |100-160|   -    |  250       |   18     | 20-65    |    2-6      |
|св 15 до 45 |100-160| 75-175 |  250       |   18     | 20-65    |    2-6      |
|от 0 до 15  |120-200|   -    |  315       |   24     | 25-80    |    3-8      |
|св 15 до 45 |120-200| 95-225 |  315       |   24     | 25-80    |    3-8      |
|от 0 до 15  |160-250|   -    |  400       |   30     | 32-100   |    3-10     |
|св 15 до 45 |160-250|120-280 |  400       |   30     | 32-100   |    3-10     |
|от 0 до 15  |200-320|   -    |  500       |   36     | 40-125   |    4-12     |
|св 15 до 45 |200-320|150-350 |  500       |   36     | 40-125   |    4-12     |
|от 0 до 15  |250-400|   -    |  630       |   45     | 50-160   |    5-16     |
|св 15 до 45 |250-400|190-440 |  630       |   45     | 50-160   |    5-16     |
|от 0 до 15  |320-520|   -    |  800       |   60     | 65-200   |    6-20     |
|св 15 до 45 |320-520|240-560 |  800       |   60     | 65-200   |    6-20     |
|от 15 до 29 |400-700|200-700 |  1000      |   70     | 80-250   |    8-25     |
|св 29 до 45 |400-650|300-650 |  1000      |   70     | 80-250   |    8-25     |
+------------+----------------+------------------------------------------------+
