	      Номинальный диаметр зуборезной головки
                     Осевая форма III
+-----------+----------------+------------------------------------------------+
|угол       |  Пределы       | Номинальн   |          |         |		      |
|наклона    |средн конусного | диаметр     | Внешняя  | Ширина  | Расчетн     |
|зуба       |  расстоян R    | зуборезн    | высота   | зубчат  | нормальный  |
| bn,       |----------------+ головки     | зуба     | венца   | модуль      |
|           |рекомен| допуст |   d0        |    he    |  b      |    mn       |
+-----------+----------------+------------------------------------------------+
|    30     | 85*-100|   -    |   100       |    9     |  10-20  |    2-3.5   |
|    35     | 75*-100|   -    |   100       |    9     |  10-20  |    2-3.5   |
|    40     | 65*-90 |   -    |   100       |    9     |  10-20  |    2-3.5   |
|    30     |105*-125|   -    |   125       |    10    |  12-25  |    2-4     |
|    35     | 95*-125|   -    |   125       |    10    |  12-25  |    2-4     |
|    40     | 80*-110|   -    |   125       |    10    |  12-25  |    2-4     |
|    30     |135*-160|   -    |   160       |    12    |  16-32  |    2-5     |
|    35     |120*-160|   -    |   160       |    12    |  16-32  |    2-5     |
|    40     |105*-145|   -    |   160       |    12    |  16-32  |    2-5     |
|    30     |170*-200|   -    |   200       |    15    |  20-40  |    3-6     |
|    35     |150*-200|   -    |   200       |    15    |  20-40  |    3-6     |
|    40     |130*-180|   -    |   200       |    15    |  20-40  |    3-6     |
|    30     |210*-250|   -    |   250       |    18    |  25-50  |    3-7     |
|    35     |190*-250|   -    |   250       |    18    |  25-50  |    3-7     |
|    40     |160*-225|   -    |   250       |    18    |  25-50  |    3-7     |
|    30     |270*-315|   -    |   315       |    24    |  32-65  |    3-8     |
|    35     |235*-315|   -    |   315       |    24    |  32-65  |    3-8     |
|    40     |205*-280|   -    |   315       |    24    |  32-65  |    3-8     |
|    30     |340*-400|   -    |   400       |    30    |  40-80  |    3-12    |
|    35     |300*-400|   -    |   400       |    30    |  40-80  |    3-12    |
|    40     |260*-360|   -    |   400       |    30    |  40-80  |    3-12    |
|    30     |420*-500|   -    |   500       |    36    |  50-100 |    4-15    |
|    35     |370*-500|   -    |   500       |    36    |  50-100 |    4-15    |
|    40     |330*-450|   -    |   500       |    36    |  50-100 |    4-15    |
|    30     |530*-630|   -    |   630       |    45    |  63-125 |    5-18    |
|    35     |470*-630|   -    |   630       |    45    |  63-125 |    5-18    |
|    40     |420*-570|   -    |   630       |    45    |  63-125 |    5-18    |
|    30     |680*-800|   -    |   800       |    60    |  80-160 |    6-25    |
|    35     |600*-800|   -    |   800       |    60    |  80-160 |    6-25    |
|    40     |520*-720|   -    |   800       |    60    |  80-160 |    6-25    |
+-----------+----------------+------------------------------------------------+
