		Таблица коэффициентов fc
	роликовые подшипники упорные
+-----------------------+-----------------------+
|   Dw/Dpw  		|	а=90			|
| 				|				|
+-----------------------+-----------------------+
|  0.01 			|  105.4   			|
|  0.02 			|  122.9   			|
|  0.03 			|  134.5   			|
|  0.04 			|  143.4   			|
|  0.05 			|  150.7   			|
|  0.06 			|  156.9   			|
|  0.07 			|  162.4   			|
|  0.08 			|  167.2   			|
|  0.09 			|  171.7   			|
|  0.10 			|  175.7   			|
|  0.11 			|  179.5   			|
|  0.12 			|  183.0   			|
|  0.13 			|  186.3   			|
|  0.14 			|  189.4   			|
|  0.15 			|  192.3   			|
|  0.16 			|  195.1   			|
|  0.17 			|  197.7   			|
|  0.18 			|  200.3   			|
|  0.19 			|  207.7   			|
|  0.20 			|  205.0   			|
|  0.21 			|  207.2   			|
|  0.22 			|  209.4   			|
|  0.23 			|  211.5   			|
|  0.24 			|  213.5   			|
|  0.25 			|  215.4   			|
|  0.26 			|  217.3   			|
|  0.27 			|  219.1   			|
|  0.28 			|  220.9   			|
|  0.29 			|  222.7   			|
|  0.30 			|  224.3   			|
+-----------------------+-----------------------+
