		Таблица коэффициентов fc
		роликовые подшипники упорно-радиальные
+-----------------------+-----------------------+-----------+
|   Dw*cos(a)/Dpw  	|а=50		| а=65  	|a=80		|
| 				|		| 		|		|
+-----------------------+-----------------------+-----------+
|  0.01 			|  109.7   	|107.1	|  105.6	|
|  0.02 			|  127.8   	|124.7	|  123.0	|
|  0.03 			|  139.5   	|136.2	|  134.3	|
|  0.04 			|  148.3   	|144.7	|  142.8	|
|  0.05 			|  155.2   	|151.5	|  149.4	|
|  0.06 			|  160.9   	|157.0	|  154.9	|
|  0.07 			|  165.6   	|161.6	|  159.4	|
|  0.08 			|  169.5   	|165.5	|  163.2	|
|  0.09 			|  172.8   	|168.7	|  166.4	|
|  0.10 			|  174.5   	|171.4	|  169.0	|
|  0.11 			|  177.8   	|173.6	|  171.2	|
|  0.12 			|  179.7   	|175.4	|  173	|
|  0.13 			|  181.1   	|176.8	|  174.4	|
|  0.14 			|  182.3   	|177.9	|  175.5	|
|  0.15 			|  183.1   	|178.8	|  176.3	|
|  0.16 			|  183.7   	|179.3	|  -		|
|  0.17 			|  184.0   	|179.6	|  -		|
|  0.18 			|  184.1   	|179.7	|  -		|
|  0.19 			|  184.0   	|179.6	|  -		|
|  0.20 			|  183.7   	|179.3	|  -		|
|  0.21 			|  183.2   	|-		|  -		|
|  0.22 			|  182.6   	|-		|  -		|
|  0.23 			|  181.8   	|-		|  -		|
|  0.24 			|  180.9   	|-		|  -		|
|  0.25 			|  179.8   	|-		|  -		|
|  0.26 			|  178.7   	|-		|  -		|
+-----------------------+-----------------------+-----------+
