		Таблица коэффициентов fc
	роликовые подшипники радиальные,радиально-упорные
+-----------------------+-----------------------+
|   Dw/Dpw  		|	fc			|
| 				|				|
+-----------------------+-----------------------+
|  0.01 			|  52.1   			|
|  0.02 			|  60.8   			|
|  0.03 			|  66.5   			|
|  0.04 			|  70.7   			|
|  0.05 			|  74.1   			|
|  0.06 			|  76.9   			|
|  0.07 			|  79.2   			|
|  0.08 			|  81.2   			|
|  0.09 			|  82.8   			|
|  0.10 			|  84.2   			|
|  0.11 			|  85.4   			|
|  0.12 			|  86.4   			|
|  0.13 			|  87.1   			|
|  0.14 			|  87.7   			|
|  0.15 			|  88.2   			|
|  0.16 			|  88.5   			|
|  0.17 			|  88.7   			|
|  0.18 			|  88.8   			|
|  0.19 			|  88.8   			|
|  0.20 			|  88.7   			|
|  0.21 			|  88.5   			|
|  0.22 			|  88.2   			|
|  0.23 			|  87.9   			|
|  0.24 			|  87.5   			|
|  0.25 			|  87.0   			|
|  0.26 			|  86.4   			|
|  0.27 			|  85.8   			|
|  0.28 			|  85.2   			|
|  0.29 			|  84.5   			|
|  0.30 			|  83.8   			|
+-----------------------+-----------------------+
