		Таблица коэффициентов fc
		шариковые подшипники упорно-радиальные
+-----------------------+-----------------------+-----------+
|   Dw*cos(a)/Dpw  	|а=45		| а=60  	|a=90		|
| 				|		| 		|		|
+-----------------------+-----------------------+-----------+
|  0.01 			|  42.1   	|39.2		|  37.3	|
|  0.02 			|  51.7   	|48.1		|  45.9	|
|  0.03 			|  58.2   	|54.2		|  51.7	|
|  0.04 			|  63.3   	|58.9		|  56.1	|
|  0.05 			|  67.3   	|62.6		|  59.7	|
|  0.06 			|  70.7   	|65.8		|  62.7	|
|  0.07 			|  73.5   	|68.4		|  65.2	|
|  0.08 			|  75.9   	|70.7		|  67.3	|
|  0.09 			|  78.0   	|72.6		|  69.2	|
|  0.10 			|  79.7   	|74.2		|  70.7	|
|  0.11 			|  81.1   	|75.5		|  - 		|
|  0.12 			|  82.3   	|76.6		|  -		|
|  0.13 			|  83.3   	|77.5		|  -		|
|  0.14 			|  84.1   	|78.3		|  -		|
|  0.15 			|  84.7   	|79.2		|  -		|
|  0.16 			|  85.1   	|79.5		|  -		|
|  0.17 			|  85.4   	|79.6		|  -		|
|  0.18 			|  85.5   	|79.6		|  -		|
|  0.19 			|  85.5   	|79.5		|  -		|
|  0.20 			|  85.4   	|-		|  -		|
|  0.21 			|  85.2   	|-		|  -		|
|  0.22 			|  84.9   	|-		|  -		|
|  0.23 			|  84.5   	|-		|  -		|
|  0.24 			|  84.0   	|-		|  -		|
|  0.25 			|  83.4   	|-		|  -		|
|  0.26 			|  82.8   	|-		|  -		|
|  0.27 			|  82.0   	|-		|  -		|
|  0.28 			|  81.3   	|-		|  -		|
|  0.29 			|  80.4   	|-		|  -		|
|  0.30 			|  79.6   	|-		|  -		|
+-----------------------+-----------------------+-----------+
