Значения коэффициента YF0 для внешн зацепления.
+------------+---------+---------+---------------------------------------------------------+
|Коэфф       |    число   зубьев    ЗК                                                     |
|смещения    |                                                                             |
|     x      |-----------------------------------------------------------------------------+
|            | 12 | 14 | 16 | 18 | 20 | 25 | 30 | 35 | 40 | 50 | 60 | 80 | 100 | 200 | 300 |
+------------+-----------------------------------------------------------------------------+
|    -0.8    |    |    |    |    |    |    | 4  |3.8 |3.52|3.22|3.08|2.9 | 2.79| 2.55| 2.48|
|    -0.6    |    |    |    |    |    |    |3.58|3.37|3.21|3.03|2.92|2.77| 2.68| 2.49| 2.46|
|    -0.5    |    |    |    |    |    |3.64|3.31|3.15|3.03|2.9 |2.79|2.67| 2.6 | 2.45| 2.43|
|    -0.4    |    |    |    |    |3.7 |3.35|3.1 |2.98|2.9 |2.77|2.68|2.58| 2.52| 2.4 | 2.4 |
|    -0.3    |    |    |    |3.61|3.4 |3.1 |2.9 |2.8 |2.72|2.62|2.57|2.49| 2.45| 2.36| 2.38|
|    -0.2    |    |    |3.54|3.3 |3.11|2.89|2.74|2.67|2.61|2.53|2.48|2.42| 2.38| 2.34| 2.33|
|    -0.1    |    |3.43|3.2 |3.03|2.9 |2.7 |2.6 |2.52|2.48|2.42|2.38|2.34| 2.32| 2.3 | 2.3 |
|     0      |3.35|3.11|2.95|2.82|2.7 |2.56|2.47|2.41|2.38|2.34|2.32|2.29| 2.28| 2.25| 2.25|
|    +0.1    |3.0 |2.83|2.72|2.63|2.55|2.42|2.36|2.31|2.29|2.27|2.24|2.22| 2.21| 2.2 | 2.2 |
|    +0.2    |2.76|2.63|2.55|2.47|2.41|2.37|2.27|2.24|2.21|2.19|2.18|2.17| 2.17| 2.16| 2.16|
|    +0.3    |2.59|2.49|2.41|2.36|2.31|2.25|2.2 |2.18|2.15|2.13|2.13|2.13| 2.13| 2.13| 2.13|
|    +0.4    |2.42|2.36|2.31|2.27|2.22|2.18|2.14|2.12|2.11|2.1 |2.1 |2.1 | 2.1 | 2.1 | 2.1 |
|    +0.6    |2.3 |2.24|2.21|2.18|2.15|2.11|2.09|2.07|2.05|2.04|2.04|2.04| 2.04| 2.04| 2.04|
|    +1      |    |    |    |    |2.12|2.07|2.04|2.02|2.02|2   |2   |2   | 2   | 2   | 2   |
+------------------------------------------------------------------------------------------+
