йнщттхжхемрш X Y дкъ пюяверю ярюрхвеяйни мюцпсгйх

+---------+------------+------------╛
   сцнк   | ндмнпъдмше | дбсупъдмше |
 йнмрюйрю |  X  |  Y   |  X  |  Y   |
+---------+-----+------+-----+------+
   0-18   | 0.6 |0.50  | 0.6 | 0.50 |
  18-19   | 0.5 |0.43  | 1.0 | 0.86 |
  19-20   | 0.5 |0.42  | 1.0 | 0.84 |
  20-25   | 0.5 |0.38  | 1.0 | 0.76 |
  25-26   | 0.5 |0.37  | 1.0 | 0.74 |
  26-30   | 0.5 |0.33  | 1.0 | 0.66 |
  30-35   | 0.5 |0.29  | 1.0 | 0.58 |
  35-36   | 0.5 |0.28  | 1.0 | 0.56 |
  36-90   | 0.5 |0.26  | 1.0 | 0.52 |
+---------+-----+------+-----+------+
-------------------------------------
