Нормы плавности работы. Коэффициент Fpb. ГОСТ 1643-81 
                                                    
+-------------+-------------------------+ ------------
| Модуль m,мм |           | Делительный |            |
|             | Степень   | диаметр, мм |  Значение  |
+-------------| точности  +-------------|   коеф-та  |
| MIN  | MAX  |           | MIN  | MAX  |            |
+-------------+-----------+-------------+------------+
|           Степень точности 5                       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     |  0   |  125 |    5.6     |
|  3.5 |  6.3 |     5     |  0   |  125 |    7.5     |
|  6.3 |  10  |     5     |  0   |  125 |    8.5     |
|  10  |  16  |     5     |  0   |  125 |    -       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     |  125 |  400 |    6.7     |
|  3.5 |  6.3 |     5     |  125 |  400 |    8.5     |
|  6.3 |  10  |     5     |  125 |  400 |    9.5     |
|  10  |  16  |     5     |  125 |  400 |    10      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     |  400 |  800 |    7.5     |
|  3.5 |  6.3 |     5     |  400 |  800 |    8.5     |
|  6.3 |  10  |     5     |  400 |  800 |    10      |
|  10  |  16  |     5     |  400 |  800 |    12      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     |  800 | 1600 |    8.5     |
|  3.5 |  6.3 |     5     |  800 | 1600 |    9.5     |
|  6.3 |  10  |     5     |  800 | 1600 |    10      |
|  10  |  16  |     5     |  800 | 1600 |    12      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     | 1600 | 2500 |    9.5     |
|  3.5 |  6.3 |     5     | 1600 | 2500 |    10      |
|  6.3 |  10  |     5     | 1600 | 2500 |    12      |
|  10  |  16  |     5     | 1600 | 2500 |    13      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     | 2500 | 4000 |    -       |
|  3.5 |  6.3 |     5     | 2500 | 4000 |    12      |
|  6.3 |  10  |     5     | 2500 | 4000 |    13      |
|  10  |  16  |     5     | 2500 | 4000 |    15      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     5     | 4000 | 6300 |    -       |
|  3.5 |  6.3 |     5     | 4000 | 6300 |    -       |
|  6.3 |  10  |     5     | 4000 | 6300 |    14      |
|  10  |  16  |     5     | 4000 | 6300 |    16      |
+-------------+-----------+-------------+------------+
|           Степень точности 6                       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     |  0   |  125 |    9.5     |
|  3.5 |  6.3 |     6     |  0   |  125 |    12      |
|  6.3 |  10  |     6     |  0   |  125 |    13      |
|  10  |  16  |     6     |  0   |  125 |    -       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     |  125 |  400 |    10      |
|  3.5 |  6.3 |     6     |  125 |  400 |    13      |
|  6.3 |  10  |     6     |  125 |  400 |    15      |
|  10  |  16  |     6     |  125 |  400 |    17      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     |  400 |  800 |    12      |
|  3.5 |  6.3 |     6     |  400 |  800 |    13      |
|  6.3 |  10  |     6     |  400 |  800 |    17      |
|  10  |  16  |     6     |  400 |  800 |    19      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     |  800 | 1600 |    13      |
|  3.5 |  6.3 |     6     |  800 | 1600 |    15      |
|  6.3 |  10  |     6     |  800 | 1600 |    17      |
|  10  |  16  |     6     |  800 | 1600 |    19      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     | 1600 | 2500 |    15      |
|  3.5 |  6.3 |     6     | 1600 | 2500 |    17      |
|  6.3 |  10  |     6     | 1600 | 2500 |    19      |
|  10  |  16  |     6     | 1600 | 2500 |    21      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     | 2500 | 4000 |    -       |
|  3.5 |  6.3 |     6     | 2500 | 4000 |    19      |
|  6.3 |  10  |     6     | 2500 | 4000 |    21      |
|  10  |  16  |     6     | 2500 | 4000 |    24      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     6     | 4000 | 6300 |    -       |
|  3.5 |  6.3 |     6     | 4000 | 6300 |    -       |
|  6.3 |  10  |     6     | 4000 | 6300 |    24      |
|  10  |  16  |     6     | 4000 | 6300 |    26      |
+-------------+-----------+-------------+------------+
|           Степень точности 7                       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     7     |  0   |  125 |    13      |
|  3.5 |  6.3 |     7     |  0   |  125 |    17      |
|  6.3 |  10  |     7     |  0   |  125 |    19      |
|  10  |  16  |     7     |  0   |  125 |    -       |
