Значения коэффициента Khw. ГОСТ 1643-81 

+------------+---------+---------+
| Твердость, |Окружная |Значение |
|    HV      |скорость,| коеф-та |
|            |  м/с    |   Khw   |
+------------+---------+---------+
|   200      |   1     |   0.19  |
|   200      |   3     |   0.20  |
|   200      |   5     |   0.22  |
|   200      |   8     |   0.27  |
|   200      |   10    |   0.32  |
|   200      |   15    |   0.54  |
+------------+---------+---------+
|   250      |   1     |   0.26  |
|   250      |   3     |   0.28  |
|   250      |   5     |   0.32  |
|   250      |   8     |   0.39  |
|   250      |   10    |   0.45  |
|   250      |   15    |   0.67  |
+------------+---------+---------+
|   300      |   1     |   0.35  |
|   300      |   3     |   0.37  |
|   300      |   5     |   0.41  |
|   300      |   8     |   0.50  |
|   300      |   10    |   0.58  |
|   300      |   15    |   0.87  |
+------------+---------+---------+
|   350      |   1     |   0.45  |
|   350      |   3     |   0.46  |
|   350      |   5     |   0.53  |
|   350      |   8     |   0.64  |
|   350      |   10    |   0.73  |
|   350      |   15    |   1.00  |
+------------+---------+---------+
|   436      |   1     |   0.53  |//43 HRC = 436 HV
|   436      |   3     |   0.57  |
|   436      |   5     |   0.63  |
|   436      |   8     |   0.78  |
|   436      |   10    |   0.91  |
|   436      |   15    |   1.00  |
+------------+---------+---------+
|   483      |   1     |   0.63  |//47 HRC = 483 HV
|   483      |   3     |   0.70  |
|   483      |   5     |   0.78  |
|   483      |   8     |   0.98  |
|   483      |   10    |   1.00  |
|   483      |   15    |   1.00  |
+------------+---------+---------+
|   543      |   1     |   0.71  |//51 HRC = 543 HV
|   543      |   3     |   0.90  |
|   543      |   5     |   1.00  |
|   543      |   8     |   1.00  |
|   543      |   10    |   1.00  |
|   543      |   15    |   1.00  |
+------------+---------+---------+
|   855      |   1     |   0.80  |//60 HRC = 855 HV
|   855      |   3     |   0.90  |
|   855      |   5     |   1.00  |
|   855      |   8     |   1.00  |
|   855      |   10    |   1.00  |
|   855      |   15    |   1.00  |
+------------+---------+---------+
