	      Коэфф угла головки зуба Ka
                     
+------------+----------------+----------------------------------------------------------+
|угол        |       |        Коэфф угла головки зуба Ka                                 |
|наклона     |  z1   |        при передаточном числе u                                   |
|зуба        |       |                                                                   |
| bn,        |       | ----------------------------------------------------------------- |
|            |       |от 1 до 1.25|св 1.25 до 1.6|св 1.6 до 2.5|св 2.5 до 4|  св 4       |
+------------+----------------+----------------------------------------------------------+
|от 0 до 15  | 12-13 |   -        |       -      |      -      | 0.7/0.95  |  0.65/0.95  |
|от 0 до 15  | 14-15 |   -        |   0.75/0.85  |   0.75/0.9  | 0.75/0.95 |  0.7/0.95   |
|от 0 до 15  | 16-19 |  0.8/0.8   |   0.8/0.85   |   0.8/0.95  | 0.75/0.95 |  0.75/1     |
|от 0 до 15  | 20-24 |  0.85/0.85 |   0.8/0.85   |   0.8/0.95  | 0.8/0.95  |  0.8/1      |
|от 0 до 15  | 25-29 |  0.85/0.85 |   0.85/0.9   |   0.85/0.95 | 0.8/0.95  |  0.8/1      |
|от 0 до 15  | 30-40 |  0.9/0.9   |   0.85/0.9   |   0.85/0.95 | 0.85/0.95 |  0.85/1     |
|от 0 до 15  | >40   |  0.9/0.9   |   0.9/0.95   |   0.85/0.95 | 0.85/0.95 |  0.85/1     |
|св 15 до 29 | 10-12 |     -      |       -      |       -     | 0.75/0.95 |  0.75/1     |
|св 15 до 29 | 12-13 |     -      |       -      |   0.8/0.9   | 0.8/0.95  |  0.75/1     |
|св 15 до 29 | 14-15 |     -      |   0.85/0.9   |   0.8/0.9   | 0.8/0.95  |  0.8/1      |
|св 15 до 29 | 16-19 |  0.85/0.85 |   0.85/0.9   |   0.85/0.95 | 0.85/0.95 |  0.85/1     |
|св 15 до 29 | 20-24 |  0.9/0.9   |   0.85/0.9   |   0.85/0.95 | 0.85/0.95 |  0.85/1     |
|св 15 до 29 | 25-29 |  0.9/0.9   |   0.9/0.9    |   0.9/0.95  | 0.9/0.95  |  0.9/1      |
|св 15 до 29 | 30-40 |  0.9/0.9   |   0.9/0.95   |   0.9/0.95  | 0.9/1     |  0.9/1      |
|св 15 до 29 | >40   |  0.95/0.95 |   0.95/0.95  |   0.9/0.95  | 0.9/1     |  0.9/1      |
|св 29 до 45 | 6-7   |     -      |       -      |       -     |     -     |  0.75/1     |
|св 29 до 45 | 8-9   |     -      |       -      |       -     |     -     |  0.75/1     |
|св 29 до 45 | 10-11 |     -      |       -      |       -     | 0.8/1     |  0.8/1      |
|св 29 до 45 | 12-13 |     -      |       -      |   0.9/1     | 0.85/1    |  0.85/1     |
|св 29 до 45 | 14-15 |     -      |   0.9/0.9    |   0.9/1     | 0.9/1     |  0.85/1     |
|св 29 до 45 | 16-17 |   0.9/0.9  |   0.9/1      |   0.9/1     | 0.9/1     |  0.9/1      |
|св 29 до 45 | 18-19 |   0.9/0.9  |   0.9/1      |   0.9/1     | 0.9/1     |  0.9/1      |
|св 29 до 45 | 20-24 |   1/1      |   1/1        |   1/1       | 0.9/1     |  0.9/1      |
|св 29 до 45 | >24   |   1/1      |   1/1        |   1/1       | 1/1       |  1/1        |
+------------+----------------+----------------------------------------------------------+
