Коэфф смещения для ортогон конич зубч передач с круговыми зуб-ми при исх контуре по ГОСТ 16202-70
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+-----+beta-от0 до15
|число   |     |     |     |     |     |     |     |     |      |     |     |     |передат отнош
|зуб     | 1   | 1.12|1.25 | 1.4 | 1.6 | 1.8 | 2.0 | 2.5 | 3.15 | 4.0 | 5.0 | 6.3 |
|шестерни|     |     |     |     |     |     |     |     |      |     |     |     |
|   z1   |     |     |     |     |     |     |     |     |      |     |     |     |
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+-----+
|  12    |  -  |  -  |  -  |  -  |  -  |   - |   - |  0.5| 0.53 | 0.56|0.57 |0.58 |
|  13    |  -  |  -  |  -  |  -  |  -  |   - | 0.44| 0.48| 0.52 | 0.54|0.55 |0.56 |
|  14    |  -  |  -  |  -  |0.27 | 0.34| 0.38| 0.42| 0.47| 0.50 | 0.52|0.53 |0.54 |
|  15    |  -  |  -  | 0.18|0.25 | 0.31| 0.36| 0.40| 0.45| 0.48 | 0.5 |0.51 |0.52 |
|  16    |  0  | 0.1 | 0.17|0.24 | 0.30| 0.35| 0.38| 0.43| 0.46 | 0.48|0.49 |0.5  |
|  18    |  0  | 0.09| 0.15|0.22 | 0.28| 0.33| 0.36| 0.40| 0.43 | 0.45|0.46 |0.47 |
|  20    |  0  | 0.08| 0.14|0.20 | 0.26| 0.30| 0.34| 0.37| 0.40 | 0.42|0.43 |0.44 |
|  25    |  0  | 0.07| 0.13|0.18 | 0.23| 0.26| 0.29| 0.33| 0.36 | 0.38|0.39 |0.4  |
|  30    |  0  | 0.06| 0.11|0.15 | 0.19| 0.22| 0.25| 0.28| 0.31 | 0.33|0.34 |0.35 |
|  40    |  0  | 0.05| 0.09|0.12 | 0.15| 0.18| 0.20| 0.22| 0.24 | 0.26|0.27 |0.28 |
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+------
