Коэфф смещения для ортогон конич зубч передач с круговыми зуб-ми при исх контуре по ГОСТ 16202-70
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+-----+beta-св29 до45
|число   |     |     |     |     |     |     |     |     |      |     |     |     |передат отнош
|зуб     | 1   | 1.12|1.25 | 1.4 | 1.6 | 1.8 | 2.0 | 2.5 | 3.15 | 4.0 | 5.0 | 6.3 |
|шестерни|     |     |     |     |     |     |     |     |      |     |     |     |
|   z1   |     |     |     |     |     |     |     |     |      |     |     |     |
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+-----+
| 6(b>42)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  |  -   |  -  |  -  |0.7  |
| 7(b>40)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  |  -   |  -  | 0.65|0.66 |
| 8(b>38)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  |  -   | 0.51| 0.53|0.54 |
| 9(b>35)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  | 0.46 | 0.49| 0.5 |0.52 |
|10(b>32)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  | 0.44 | 0.47| 0.47|0.48 |
|  11    |  -  |  -  |  -  |  -  |  -  |   - |   - | 0.38| 0.41 | 0.44|0.45 |0.45 |
|  12    |  -  |  -  |  -  |  -  |  -  |   - | 0.32| 0.37| 0.39 | 0.41|0.42 |0.43 |
|  13    |  -  |  -  |  -  |  -  |  -  | 0.27| 0.3 | 0.35| 0.37 | 0.39|0.40 |0.41 |
|  14    |  -  |  -  |  -  |0.18 | 0.23| 0.26| 0.29| 0.33| 0.35 | 0.37|0.38 |0.38 |
|  15    |  -  |  -  | 0.12|0.17 | 0.22| 0.25| 0.27| 0.31| 0.33 | 0.35|0.36 |0.37 |
|  16    |  -  | 0.06| 0.11|0.16 | 0.21| 0.24| 0.26| 0.30| 0.32 | 0.34|0.35 |0.35 |
|  18    |  0  | 0.05| 0.10|0.15 | 0.19| 0.22| 0.24| 0.27| 0.30 | 0.32|0.32 |0.33 |
|  20    |  0  | 0.05| 0.09|0.13 | 0.17| 0.20| 0.22| 0.26| 0.28 | 0.29|0.29 |0.30 |
|  25    |  0  | 0.04| 0.08|0.11 | 0.15| 0.17| 0.19| 0.21| 0.24 | 0.25|0.25 |0.26 |
|  30    |  0  | 0.03| 0.07|0.09 | 0.11| 0.15| 0.16| 0.18| 0.21 | 0.22|0.22 |0.23 |
|  40    |  0  | 0.03| 0.05|0.07 | 0.09| 0.11| 0.11| 0.14| 0.16 | 0.17|0.17 |0.18 |
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+------
