	      Номинальная мощность N0
+-----+---------------+-----------------------------------------------------------+
|     |               |                                                           |
|     |               |      Частота вращения меньшего шкива                       |
| d1  |               |                  min-1                                    |
|     |---------------+-----------------------------------------------------------+
|     |  u | V |  700 | 800  | 950  | 1200 | 1450 | 1600 |2000|2400|2800|3200|
+-----+---------------+-----------------------------------------------------------+
| 63  | 1  |350| 1.07 | 1.03 | 1.01 | 1.13 | 1.07 | 1.02 | 0  |
| 63  | 1.5|350| 1.07 | 1.03 | 1.01 | 1.07 | 1.03 | 1.02 | 1  |
| 63  | 3> | - | 1.17 | 1.08 | 1.02 | 1.22 | 1.13 | 1.04 | 0  |
| 71  | 1  | - | 1.08 | 1.03 | 1.01 | 1.15 | 1.08 | 1.03 | 1  |
| 71  | 1.5|350| 1.14 | 1.07 | 1.03 | 1.30 | 1.14 | 1.06 | 0  |
| 71  | 3> |350| 1.14 | 1.07 | 1.03 | 1.12 | 1.08 | 1.03 | 1  |
| 80  | 1  | - | 1.33 | 1.19 | 1.08 | 1.55 | 1.28 | 1.05 | 0  |
| 80  | 1.5| - | 1.15 | 1.09 | 1.02 | 1.24 | 1.15 | 1.08 | 1  |
| 80  | 3> |350| 1.23 | 1.12 | 1.05 | 1.47 | 1.23 | 1.04 | 0  |
| 90  | 1  |350| 1.23 | 1.12 | 1.05 | 1.21 | 1.11 | 1.17 | 1  |
| 90  | 1.5| - | 1.53 | 1.30 | 1.12 | 1.95 | 1.48 | 1.09 | 0  |
| 90  | 3> | - | 1.28 | 1.15 | 1.05 | 1.41 | 1.23 | 1.05 | 1  |
| 100 | 1  |350| 1.45 | 1.18 | 1.07 | 1.63 | 1.33 | 1.12 | 0  |
| 100 | 1.5|350| 1.45 | 1.18 | 1.07 | 1.31 | 1.17 | 1.06 | 1  |
| 100 | 3> | - | 1.73 | 1.42 | 1.18 | 2.35 | 1.68 | 1.24 | 0  |
| 112>| 1  | - | 1.39 | 1.22 | 1.08 | 1.60 | 1.32 | 1.12 | 1  |
| 112>| 1.5| - | 1.39 | 1.22 | 1.08 | 1.60 | 1.32 | 1.12 | 1  |
| 112>| 3> | - | 1.39 | 1.22 | 1.08 | 1.60 | 1.32 | 1.12 | 1  |
+-----+-----------------------------+----------------------------------------------+
