Номинальная мощность polyклиновых ремней сечения K P0 при L0=710mm
+-----------+-----------------------------------------------+
|     |     |                                               |
| d1  |     |     Частота вращения меньшего шкива, м/c      |
|диам |     |                                               |
|мень |     |-----------------------------------------------+
|шкив |     |  2 |  5  | 10  | 15  |  20 |  25 |  30 |  35  |
+-----------------------------------------------------------+
| 40  |     |0.65| 1.4 | 2.4 | 3.2 | 3.7 |  -  |  -  |  -   |
| 45  |     |0.7 | 1.55| 2.7 | 3.6 | 4.3 | 4.9 |  -  |  -   |
| 50  |     |0.76| 1.65| 2.9 | 4.0 | 4.9 | 5.3 |  -  |  -   |
| 56  |     |0.8 | 1.8 | 3.1 | 4.3 | 5.2 | 5.9 | 6.2 |  -   |
| 63  |     |0.85| 1.9 | 3.4 | 4.6 | 5.7 | 6.4 | 6.8 |  -   |
| 71  |     |0.88| 2.0 | 3.6 | 4.9 | 6.0 | 6.9 | 7.4 | 7.6  |
| 80  |     |0.92| 2.05| 3.7 | 5.2 | 6.4 | 7.3 | 7.9 | 8.2  |
| 90  |     |0.95| 2.15| 3.9 | 5.4 | 6.7 | 7.7 | 8.4 | 8.7  |
| 100 |     |0.97| 2.2 | 4.0 | 5.6 | 6.9 | 8.0 | 8.7 |  -   |
| 112 |     |1.00| 2.25| 4.1 | 5.8 | 7.2 | 8.2 | 9.1 |  -   |
| 125 |     |1.02| 2.3 | 4.2 | 6.0 | 7.5 | 8.7 | 9.5 |  -   |
+-----+-------------------+---------------------------------+
