Номинальная мощность polyклиновых ремней сечения Л P10 при L0=1600mm
+-----------+-----------------------------------------------+
|     |     |                                               |
| d1  |     |     Частота вращения меньшего шкива, м/c      |
|диам |     |                                               |
|мень |     |-----------------------------------------------+
|шкив |     |  2 |  5  | 10  | 15  |  20 |  25 |  30 |  35  |
+-----------------------------------------------------------+
| 80  |     |1.9 | 3.9 | 6.4 | 7.9 | 8.3 |  -  |  -  |  -   |
| 90  |     |2.2 | 4.5 | 7.6 | 9.7 |10.8 |  -  |  -  |  -   |
| 100 |     |2.3 | 5.0 | 8.6 |11.2 |12.7 |13.0 |  -  |  -   |
| 112 |     |2.54| 5.5 | 9.6 |12.7 |14.7 |15.3 |  -  |  -   |
| 125 |     |2.7 | 5.9 |10.4 |13.9 |16.3 |17.4 |17.0 |  -   |
| 140 |     |2.9 | 6.3 |11.0 |15.0 |17.8 |19.2 |19.0 |17.2  |
| 160 |     |3.05| 6.7 |12.0 |16.2 |19.4 |21.0 |21.5 |20.0  |
| 180 |     |3.1 | 7.0 |12.6 |17.0 |20.5 |22.8 |23.4 |22.0  |
| 200 |     |3.2 | 7.2 |13.0 |17.9 |21.6 |24.0 |24.8 |23.6  |
| 224 |     |3.3 | 7.5 |13.5 |18.6 |22.6 |25.2 |26.2 |  -   |
| 250 |     |3.4 | 7.7 |14.0 |19.2 |23.4 |26.2 |27.5 |  -   |
+-----+-------------------+---------------------------------+
