Номинальная мощность polyклиновых ремней сечения M P0 при L0=2240mm
+-----------+-----------------------------------------------+
|     |     |                                               |
| d1  |     |     Частота вращения меньшего шкива, м/c      |
|диам |     |                                               |
|мень |     |-----------------------------------------------+
|шкив |     |  2 |  5  | 10  | 15  |  20 |  25 |  30 |  35  |
+-----------------------------------------------------------+
| 180 |     |7.1 |14.5 |24.0 |30.2 |32.8 |31.8 |24.2 |  -   |
| 200 |     |7.7 |16.3 |27.7 |35.8 |40.3 |40.4 |35.4 |  -   |
| 224 |     |8.5 |18.0 |31.3 |41.2 |47.5 |49.5 |46.3 | 37   |
| 250 |     |9.1 |19.7 |34.4 |45.9 |53.8 |57   |56   | 48   |
| 280 |     |9.7 |21.0 |37.4 |50.3 |59.8 |65   |64   | 58   |
| 315 |     |10.2|22.5 |40.0 |54.3 |65.0 |71   |72   | 68   |
| 355 |     |10.7|23.7 |42.4 |58.0 |70.0 |78   |80   | 76   |
| 400 |     |11.0|24.8 |44.6 |61.0 |74.0 |83   |86   | 84   |
+-----+-------------------+---------------------------------+
