Развод резцов зуборезных головок W2 и коэфф изменен толщины зуба Xt1
+--------+-----+-----+------+-----+-----+-----+-----+
|средн   |     |     |      |     |     |     |     |
|нормаль | xt1 | W2  | dhf  | Xt1 | W2  | Xt1 |  W2 |
|модуль  |     |     |      |     |     |     |     |
|  mn    |     |     |      |     |     |     |     |
+--------+-----+-----+------+-----+-----+-----+-----+
|0.4     |  0  |  0.2| 0.048|  -  |  -  |   - |   - |
|    0.45|  0  | 0.25| 0.02 |  -  |  -  |   - |  -  |
|0.5     |  0  | 0.25| 0.06 |  -  |  -  |   - |  -  |
|    0.55|  0  | 0.32| 0.005|  -  |  -  |   - |  -  |
|0.6     |  0  | 0.32| 0.045|  -  |  -  |   - |  -  |
|    0.7 |  0  | 0.40| 0.016|  -  |  -  |   - |  -  |
|0.8     |  0  | 0.40| 0.097|  -  |  -  |   - |  -  |
|    0.9 |  0  | 0.50| 0.04 |  -  |  -  |   - |  -  |
|1       |  0  | 0.60|-0.016|  -  |  -  |   - |  -  |
|   1.125|  0  | 0.70| 0.06 |  -  |  -  |   - |  -  |
|1.25    |  0  | 0.80| 0.036|  -  |  -  |   - |  -  |
|   1.375|  0  | 0.90| 0.012|  -  |  -  |   - |  -  |
|1.5     |  0  | 1.00|-0.01 |  -  |  -  |   - |  -  |
|   1.75 |  0  | 1.1 | 0.077|  -  |  -  |   - |  -  |
|2.0     |  0  | 1.3 | 0.03 | 0.04| 1.4 | 0.14| 1.6 |
|   2.25 |  0  | 1.4 | 0.119| 0.05| 1.6 | 0.14| 1.8 |
|2.5     |  0  | 1.6 | 0.072| 0.06| 1.8 | 0.14| 2.0 |
|   2.75 |  0  | 1.8 | 0.024| 0.07| 2.0 | 0.14| 2.2 |
|3.0     |  0  | 2.  |-0.024| 0.07| 2.2 | 0.2 | 2.6 |
|   3.5  |  0  | 2.2 | 0.155| 0.08| 2.6 | 0.14| 2.8 |
|4.0     |  0  | 2.6 | 0.06 | 0.04| 2.8 | 0.14| 3.2 |
|   4.5  |  0  | 2.8 | 0.239| 0.05| 3.2 | 0.14| 3.6 |
|4.0     |  0  | 2.6 | 0.06 | 0.04| 2.8 | 0.14| 3.2 |
|   4.5  |  0  | 2.8 | 0.239| 0.05| 3.2 | 0.14| 3.6 |
|5.0     |  0  | 3.2 | 0.143| 0.06| 3.6 | 0.14| 4.0 |
|   5.5  |  0  | 3.6 | 0.048| 0.07| 4.0 | 0.18| 4.6 |
|6       |  0  | 4   |-0.047| 0.1 | 4.6 | 0.2 | 5.2 |
|   7    |  0  | 4.6 | 0.036| 0.08| 5.2 | 0.2 | 6.0 |
|8       |  0  | 5.2 | 0.12 | 0.09| 6.0 | 0.15| 6.5 |
|   9    |  0  | 6.0 |-0.071| 0.06| 6.5 | 0.12| 7.0 |
|10      |  0  | 6.5 | 0.15 | 0.04| 7   | 0.14| 8   |
|   11   |  0  | 7.0 | 0.371| 0.07| 8   | 0.16| 9   |
|12      |  0  | 8   |-0.095| 0.09| 9   | 0.17| 10  |
|   14   |  0  | 9   | 0.347| 0.05| 10  | 0.2 | 12  |
|16      |  0  | 10  | 0.789| 0.09| 12  | 0.15| 13  |
|   18   |  0  | 12  |-0.143| 0.06| 13  | 0.12| 14  |
|20      |  0  | 13  | 0.299| 0.04| 14  | 0.14| 16  |
|   22   |  0  | 14  | 0.741| 0.07| 16  | 0.16| 18  |
|25      |  0  | 16  | 0.718| 0.06| 18  | 0.14| 20  |
+--------+-----+-----+-----+-----+-----+-----+-----+
  1    2 ряд
