
                ТАБЛИЦА ЗАВИСИМОСТЕЙ ПРЕДЕЛЬНЫХ ОТКЛОНЕНИЙ И ДОПУСКОВ

                     ОТ ГЕОМЕТРИЧЕСКИХ ПАРАМЕТРОВ ЗУБЧАТЫХ КОЛЕС

+---------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+
|Степень  |     Fp    |     Fr    |     Fr    |    fpt    |    ff     |    Fbet   |    fi''   |     Vw    |   fzzo    | Коэфф. U |
|точности |           |           |           |           |           |           |           |           |           | в формуле|
+----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+ для fzzo |
|    |    |  B  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  B  |  A  |  B  |          |
+----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+----------+
| 2  | 3  |  4  |  5  |  6  |  7  |  8  |  9  | 10  | 11  | 12  | 13  | 14  | 15  | 16  | 17  | 18  | 19  | 20  | 21  |    22    |
+----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+----------+
| 1  | 6  |3.15 |6.00 |2.24 |28.00|1.00 |12.00|0.63 |8.00 |0.63 |6.30 |1.00 |5.00 |0.90 |11.20|3.25 |0.031|1.63 |0.001|   1.00   |
| 6  | 7  |4.45 |9.00 |3.15 |40.00|1.40 |17.00|0.90 |11.20|1.00 |8.00 |1.25 |6.30 |1.25 |16.00|4.55 |0.044|1.63 |0.001|   0.80   |
| 7  | 8  |6.30 |12.50|4.00 |50.00|1.75 |21.00|1.25 |16.00|1.60 |10.00|2.00 |10.00|1.80 |22.40|5.68 |0.055|1.38 |0.001|   0.33   |
| 8  | 9  |9.00 |18.00|5.00 |63.00|2.20 |26.50|1.80 |22.40|2.50 |16.00|3.15 |16.00|2.24 |28.00|7.10 |0.068|1.25 |0.001|   0.33   |
| 9  | 10 |12.50|25.00|6.30 |80.00|2.75 |33.00|2.50 |31.50|4.00 |25.00|5.00 |25.00|2.80 |35.50|8.88 |0.086|1.25 |0.001|   0.33   |
+----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+----------+

Выберите нужное значение
