     рюакхжю гюбхяхлняреи опедекэмшу нрйкнмемхи х дносяйнб нр ценлерпхвеяйху 
                             оюпюлерпнб вепбъйю

+---------+-----------+-----------------------+-----------+-----------+-----------+-----------+
|яРЕОЕМЭ  |     fh    |    fhk    |    fpx    |    fpxk   |    ff1    |    fr     |    Ts     |
|РНВМНЯРХ |           |           |           |           |           |           |           |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
|         |  ю  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
| 2       |0.180|1.32 |0.364|2.62 |0.12 |0.92 |0.212|1.63 |0.21 |1.33 |0.007|1.52 |1.82 |36.5 |
| 3       |0.248|2.09 |0.575|4.15 |0.19 |1.45 |0.335|2.55 |0.34 |2.10 |0.011|2.40 |1.60 |29.0 |
| 4       |0.450|3.30 |0.91 |6.56 |0.30 |2.28 |0.530|4.03 |0.53 |3.30 |0.018|3.80 |1.30 |23.4 |
| 5       |0.720|5.20 |1.44 |10.4 |0.48 |3.60 |0.840|6.38 |0.84 |5.20 |0.028|6.00 |1.02 |18.2 |
| 6       |1.140|8.20 |2.28 |16.5 |0.76 |5.70 |1.330|10.1 |1.33 |8.20 |0.044|9.50 |0.80 | 1.46|
| 7       |1.800|13.0 |3.60 |26.0 |1.20 |9.00 |2.100|16.0 |2.10 |13.0 |0.070|15.0 |3.64 |73.0 |
| 8       |2.840|20.5 |5.70 |41.0 |1.90 |14.2 |3.300|25.0 |3.30 |20.5 |0.110|23.8 |2.92 |58.4 |
| 9       |     |     |     |     |3.00 |22.4 |     |     |5.20 |32.4 |0.174|37.6 |2.30 |46.0 |
| 10      |     |     |     |     |4.75 |35.3 |     |     |8.20 |51.0 |0.275|59.5 |     |     |
| 11      |     |     |     |     |7.50 |56.0 |     |     |13.0 |80.6 |0.440|93.7 |     |     |
| 12      |     |     |     |     |11.85|88.5 |     |     |20.5 |127.3|0.695|148.1|     |     |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
