
                   рюакхжю гюбхяхлняреи опедекэмшу нрйкнмемхи х дносяйнб нр ценлерпхвеяйху 
                                       оюпюлерпнб вепбъвмнцн йнкеяю

+---------+-----------+-----------------------+-----------+-----------+-----------+-----------+-----+-----+-----------+
|яРЕОЕМЭ  |     Fp    |           Fr          |    fpt    |    ff2    |    Fc     |    fi''   | fa  | fx  |    fsumm  |
|РНВМНЯРХ |           |                       |           |           |           |           |     |     |           |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
|         |  B  |  C  |  A1 |  C1 |  A2 |  C2 |  A  |  C  |  A  |  C  |  A  |  B  |  A  |  C  |  B  |  B  |  ю  |  C  |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
| 1       |0.32 |0.63 |0.224|2.80 |0.10 |1.12 |     |     |0.063|2.00 |0.34 |0.003|     |     |     |     |     |     |
| 2       |0.50 |1.00 |0.355|4.50 |0.158|1.90 |0.102|1.27 |0.10 |2.50 |0.53 |0.005|     |     |1.11 |0.86 |0.55 |2.35 |
| 3       |0.80 |1.60 |0.56 |7.10 |0.25 |3.00 |0.16 |2.00 |0.16 |3.15 |0.84 |0.008|     |     |1.76 |1.36 |0.68 |2.94 |
| 4       |1.25 |2.50 |0.90 |11.20|0.40 |4.80 |0.25 |3.15 |0.25 |4.00 |1.30 |0.012|     |     |2.78 |2.15 |0.85 |3.68 |
| 5       |2.00 |4.00 |1.40 |18.00|0.63 |7.50 |0.40 |5.00 |0.40 |5.00 |2.05 |0.020|     |     |4.40 |3.40 |1.07 |4.61 |
| 6       |3.15 |6.00 |2.24 |28.00|1.00 |12.00|0.63 |8.00 |0.63 |6.30 |3.25 |0.031|     |     |6.95 |5.40 |1.34 |5.76 |
| 7       |4.45 |9.00 |3.15 |40.00|1.40 |17.00|0.90 |11.20|1.00 |8.00 |4.55 |0.044|     |     |11.0 |8.50 |1.89 |8.10 |
| 8       |6.30 |12.50|4.00 |50.00|1.75 |21.00|1.25 |16.00|1.60 |10.00|5.68 |0.055|1.80 |22.40|17.4 |13.4 |2.49 |10.71|
| 9       |     |     |5.00 |63.00|2.20 |26.50|1.80 |22.40|2.50 |16.00|     |     |2.24 |28.00|27.5 |21.2 |3.28 |14.20|
| 10      |     |     |6.30 |80.00|2.75 |33.00|2.50 |31.50|4.00 |25.00|     |     |2.80 |35.50|43.5 |33.5 |4.10 |17.60|
| 11      |     |     |8.00 |100.0|3.47 |41.50|3.55 |45.00|6.30 |40.00|     |     |3.55 |45.00|68.8 |53.0 |5.13 |22.00|
| 12      |     |     |10.00|125.0|4.40 |51.50|5.00 |63.00|10.00|63.00|     |     |4.50 |56.00|108.8|84.0 |6.41 |27.50|
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
