
                   рюакхжю гюбхяхлняреи опедекэмшу нрйкнмемхи х дносяйнб он мнплюл йхмелюрхвеяйни рнвмнярх,
                       окюбмнярх пюанрш х йнмрюйрю гсаэеб нр ценлерпхвеяйху оюпюлерпнб гсавюршу йнкея

+---------+-----------+-----------------------+-----------+-----------+-----------+-----------+-----------+-----------------+------------+-----------+
|яРЕОЕМЭ  |     Fp    |           Fr          |    fpt    |    ff     |    Fbet   |    fi''   |    Fvw    |      fzzo       |    Fpxn    |     Fk    |
|РНВМНЯРХ |           |                       |           |           |           |           |           |                 |            |           |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+
|         |  B  |  C  |  A1 |  C1 |  A2 |  C2 |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  C  |  A  |  B  |  A  |  B  |  c  |  ю  |   B  |  A  |  C  |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+
| 3       |0.80 |1.60 |0.56 |7.10 |0.25 |3.00 |0.16 |2.00 |0.16 |3.15 |0.50 |2.50 |     |     |0.84 |0.008|1.56 |0.324|0.121|0.018|6.00  |0.014|7.00 |
| 4       |1.25 |2.50 |0.90 |11.20|0.40 |4.80 |0.25 |3.15 |0.25 |4.00 |0.63 |3.15 |0.45 |5.60 |1.30 |0.012|2.50 |0.315|0.115|0.023|8.00  |0.017|9.00 |
| 5       |2.00 |4.00 |1.40 |18.00|0.63 |7.50 |0.40 |5.00 |0.40 |5.00 |0.80 |4.00 |0.63 |8.00 |2.05 |0.020|3.46 |0.349|0.123|0.029|10.00 |0.022|12.00|
| 6       |3.15 |6.00 |2.24 |28.00|1.00 |12.00|0.63 |8.00 |0.63 |6.30 |1.00 |5.00 |0.90 |11.20|3.25 |0.031|5.135|0.344|0.126|0.036|12.00 |0.028|15.00|
| 7       |4.45 |9.00 |3.15 |40.00|1.40 |17.00|0.90 |11.20|1.00 |8.00 |1.25 |6.30 |1.25 |16.00|4.55 |0.044|7.69 |0.348|0.125|0.045|15.00 |0.035|19.00|
| 8       |6.30 |12.50|4.00 |50.00|1.75 |21.00|1.25 |16.00|1.60 |10.00|2.00 |10.00|1.80 |22.40|5.68 |0.055|9.27 |0.185|0.072|0.071|23.70 |0.055|29.60|
| 9       |9.00 |18.00|5.00 |63.00|     |     |1.80 |22.40|2.50 |16.00|3.15 |16.00|2.24 |28.00|7.10 |0.068|     |     |     |0.110|37.44 |0.087|46.80|
| 10      |12.50|25.00|6.30 |80.00|     |     |2.50 |31.50|4.00 |25.00|5.00 |25.00|2.80 |35.50|8.88 |0.086|     |     |     |0.176|59.16 |0.138|73.90|
| 11      |17.50|35.50|8.00 |100.0|     |     |3.55 |45.00|6.30 |40.00|8.00 |40.00|3.55 |45.00|11.10|0.107|     |     |     |0.280|93.48 |0.218|116.8|
| 12      |25.00|50.00|10.00|125.0|     |     |5.00 |63.00|10.00|63.00|12.50|63.00|4.50 |56.00|13.90|0.134|     |     |     |0.443|147.72|0.344|184.0|
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+
