
               рюакхжю гюбхяхлняреи опедекэмшу нрйкнмемхи х дносяйнб он мнплюл йхмелюрхвеяйни рнвмнярх,
                   окюбмнярх пюанрш х йнмрюйрю гсаэеб нр ценлерпхвеяйху оюпюлерпнб гсавюршу йнкея

+---------+-----------+-----------------------+-----------+-----------+-----------+-----------------+-----------+
|яРЕОЕМЭ  |     Fp    |           Fr          |    fpt    |    fЯ     |    FЯ     |      fzzo       |      fa   | 
|РНВМНЯРХ |           |                       |           |           |           |                 |           |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
|         |  B  |  C  |  A1 |  C1 |  A2 |  C2 |  A  |  C  |  A  |  C  |  A  |  B  |  A  |  B  |  c  |  ю  |  C  |
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
| 4       |1.25 |2.50 |0.90 |11.20|0.40 |4.80 |0.25 |3.15 |0.21 |3.40 |1.30 |0.012|2.500|0.315|0.115|0.94 |4.70 |
| 5       |2.00 |4.00 |1.40 |18.00|0.63 |7.50 |0.40 |5.00 |0.34 |4.20 |2.05 |0.020|3.460|0.349|0.123|1.20 |6.00 |
| 6       |3.15 |6.00 |2.24 |28.00|1.00 |12.00|0.63 |8.00 |0.53 |5.30 |3.25 |0.031|5.315|0.344|0.126|1.50 |7.50 |
| 7       |4.45 |9.00 |3.15 |40.00|1.40 |17.00|0.90 |11.20|0.84 |6.70 |4.55 |0.044|7.690|0.348|0.125|1.87 |9.45 |
| 8       |6.30 |12.50|4.00 |50.00|1.75 |21.00|1.25 |16.00|1.34 |8.40 |5.68 |0.055|9.270|0.185|0.072|3.00 |15.00|
| 9       |9.00 |18.00|5.00 |63.00|2.20 |26.50|1.80 |22.40|2.10 |1.34 |7.10 |0.068|     |     |     |4.75 |24.00|
| 10      |12.50|25.00|6.30 |80.00|2.75 |33.00|2.50 |31.50|3.35 |21.00|8.88 |0.086|     |     |     |7.50 |37.50|
| 11      |17.50|35.50|8.00 |100.0|3.44 |41.50|3.55 |45.00|5.30 |34.00|11.10|0.107|     |     |     |12.00|60.00|
| 12      |25.00|50.00|10.00|125.0|4.30 |51.50|5.00 |63.00|8.40 |53.00|13.90|0.134|     |     |     |19.00|94.50|
+---------+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
