 “аблица показател€ jn_min норм бокового зазора 
 в зависимости от класса отклонений межосевого рассто€ни€.

+---------+------------------------+
|   aw    |   ласс отклонени€      |
+----+----+----+----+----+----+----+
| св.| до | 2  | 3  | 4  | 5  | 6  |
+----+----+----+----+----+----+----+
|   0|  80|  30|  46|  74| 120| 190|
|  80| 125|  35|  54|  87| 140| 220|
| 125| 180|  40|  63| 100| 160| 250|
| 180| 250|  46|  72| 115| 185| 290|
| 250| 315|  52|  81| 130| 210| 320|
| 315| 400|  57|  89| 140| 230| 360|
| 400| 500|  63|  97| 155| 250| 400|
| 500| 630|  70| 110| 175| 280| 440|
| 630| 800|  80| 125| 200| 320| 500|
| 800|1000|  90| 140| 230| 360| 560|
|1000|1250| 105| 165| 260| 420| 660|
|1250|1600| 125| 195| 310| 500| 780|
|1600|2000| 150| 230| 370| 600| 920|
|2000|2500| 175| 280| 440| 700|1100|
|2500|3150| 210| 330| 540| 860|1350|
|3150|4000| 260| 410| 660|1050|1650|
+----+----+----+----+----+----+----+
