 “аблица показател€ TH норм бокового зазора 
 в зависимости от вида допуска на боковой зазор.

+---------+---------------------------------------+
| ƒопуск* |     ¬ид допуска на боковой зазор      |
+----+----+----+----+----+----+----+----+----+----+
| св.| до | h  | d  | c  | b  | a  | z  | y  | x  |
+----+----+----+----+----+----+----+----+----+----+
|   0|   8|  28|  35|  45|  55|  70|  90| 110| 140|
|   8|  10|  30|  40|  50|  60|  80| 100| 120| 160|
|  10|  12|  35|  40|  55|  70|  80| 100| 140| 160|
|  12|  16|  40|  45|  60|  70|  90| 110| 140| 180|
|  16|  20|  40|  55|  70|  80| 100| 120| 160| 200|
|  20|  25|  45|  60|  80|  90| 110| 140| 180| 220|
|  25|  32|  55|  70|  90| 100| 140| 160| 200| 250|
|  32|  40|  60|  80| 100| 120| 160| 180| 250| 300|
|  40|  50|  70|  90| 120| 140| 180| 220| 280| 350|
|  50|  60|  80| 100| 140| 180| 200| 250| 350| 400|
|  60|  80| 110| 140| 180| 200| 250| 300| 400| 500|
|  80| 100| 120| 160| 200| 250| 300| 350| 500| 600|
| 100| 125| 160| 200| 250| 300| 350| 450| 600| 700|
| 125| 160| 200| 250| 300| 400| 450| 550| 700| 900|
| 160| 200| 250| 300| 400| 500| 550| 700| 900|1100|
| 200| 250| 300| 350| 500| 600| 700| 900|1100|1400|
| 250| 320| 450| 450| 600| 700| 900|1100|1400|1800|
| 320| 400| 450| 600| 700| 900|1100|1400|1600|2000|
| 400| 500| 550| 700| 900|1100|1400|1600|2000|2500|
| 500| 630| 700| 900|1200|1400|1600|2000|2500|3000|
| 630| 800| 900|1200|1400|1800|2000|2500|3500|4000|
+----+----+----+----+----+----+----+----+----+----+

* - допуск на радиальное биение зубчатого венца.
