 Таблица показателя jn_min норм бокового зазора 
 в зависимости от среднего конусного расстояния
 или угла делительного конуса шестерни.

+---------+---------+------------------------+
|   R     | delta   |     Вид сопряжения     |
+----+----+----+----+----+----+----+----+----+
| св.| до | св.| до | E  | D  | C  | B  | A  |
+----+----+----+----+----+----+----+----+----+
|   0|  50|   0|  15|  15|  22|  36|  58|  90|
|   0|  50|  15|  25|  21|  33|  52|  84| 130|
|   0|  50|  25|  90|  25|  39|  62| 100| 160|
|  50| 100|   0|  15|  21|  33|  52|  84| 130|
|  50| 100|  15|  25|  25|  39|  62| 100| 160|
|  50| 100|  25|  90|  30|  46|  74| 120| 190|
| 100| 200|   0|  15|  25|  39|  62| 100| 160|
| 100| 200|  15|  25|  35|  54|  87| 140| 220|
| 100| 200|  25|  90|  40|  63| 100| 160| 250|
| 200| 400|   0|  15|  30|  46|  74| 120| 190|
| 200| 400|  15|  25|  46|  72| 115| 185| 290|
| 200| 400|  25|  90|  52|  81| 130| 210| 320|
| 400| 800|   0|  15|  40|  63| 100| 160| 250|
| 400| 800|  15|  25|  57|  89| 140| 230| 360|
| 400| 800|  25|  90|  70| 110| 175| 280| 440|
| 800|1600|   0|  15|  52|  81| 130| 210| 320|
| 800|1600|  15|  25|  80| 125| 200| 320| 500|
| 800|1600|  25|  90| 105| 165| 260| 420| 660|
|1600|9999|   0|  15|  70| 110| 175| 280| 440|
|1600|9999|  15|  25| 125| 195| 310| 500| 780|
|1600|9999|  25|  90| 175| 280| 440| 710|1100|
+----+----+----+----+----+----+----+----+----+
