 оэфф завис€щий от ст.точности по плавности и уд нагрузке.
+------------+---------------------------------------+
|—тепень     |                   |                   |
|точности    |     Ft0 (H/mm2)   |      Kdelta       |
|по нормам   |                   |                   |
|плавности   |                   |                   |
+------------+---------+---------+---------+---------+
|    6       |         -         |   0               |
|    7       |      от 120       |   0               |
|    7       |       < 120       |   0.2             |
|    8       |      от 120       |   0.2             |
|    8       |       < 120       |   0.4             |
|    9       |      от 120       |   0.4             |
|    9       |       < 120       |   0.8             |
|    10      |      от 120       |   0.8             |
|    10      |       < 120       |   1               |
|    11      |         -         |   1               |
+------------+---------+---------+---------+---------+
удельн нагрузка Ft0=Ft/(Bw*mn), Ft-расчет окружн сила Bw-рабоч ширина венца Mn-модуль нормальн
