Коэфф учитыф характер нагружения ЗК
+------------+------------------------------------------------------+
|    характер нагружения                                  |  KFc    |
+------------+------------------------------------------------------+
|Ярко выраженный знакопеременный цикл                     |         |
|(паразитные ЗК в реверсивных однорядных передачах,       |         |
|сателлиты с внутр и внешним зацеплением в планетарных    |   1     |
| передачах)или переодическое реверсирование при          |         |
|одинаковой продолжительности работы в обоих направлениях |         |
+-------------------------------------------------------------------+
|Односторонний отнулевой цикл или достаточно близкий      |         |
|к нему (ЗК низших передач и заднего хода                 |   1.3   |
|в коробках передач трансмиссий)                          |         |
+-------------------------------------------------------------------+
|Переодическое изменение направление нагрузки,            |         |
|при котором отношение чисел циклов максим нагрузки       |         |
|разных направлений может достигать Nреверс/Nпрям=0.3-0.4 |   1.2   |
|(ЗК трансмиссий, расположенные за углом реверса, ЗК      |         |
|раздаточных коробок, ведущих мостов и т.д.               |         |
+-------------------------------------------------------------------+
|Переодическое изменение направление нагрузки,            |         |
|при котором Nреверс/Nпрям=0.65-0.75                      |         |
|(ЗК высших передач в коробках передач автомобилей,       |   1.08  |
|испытывающих реверсивные нагрузки при движении накатом,  |         |
|а также вследствиe колебательных процессов.              |         |
+-------------------------------------------------------------------+
|Переодическое изменение направление нагрузки,            |         |
|при котором Nреверс/Nпрям=0.45-0.6                       |   1.14  |
|(ЗК средних передач в коробках передач автомобилей)      |         |
+-------------------------------------------------------------------+
