Значения коэффициента Kfa0 для внешн зацепления.
+------------+---------+---------+----------------------------------+
|Коэфф       |    число   зубьев    ЗК                              |
|смещения    |                                                      |
|     x      |------------------------------------------------------+
|            | 10 | 12 | 16 | 20 | 25 | 30 | 40 | 60 | 80 |100 |200 |
+------------+------------------------------------------------------+
|    -0.8    | -  | -  | -  | -  | -  | -  |1.26|1.26|1.26|1.28|1.34|
|    -0.6    | -  | -  | -  | -  | -  |1.28|1.28|1.3 |1.34|1.36|1.4 |
|    -0.4    | -  | -  | -  |1.3 |1.3 |1.32|1.32|1.36|1.38|1.4 |1.43|
|    -0.2    | -  | -  |1.3 |1.34|1.36|1.38|1.38|1.4 |1.42|1.44|1.45|
|     0      | -  |1.32|1.34|1.39|1.41|1.42|1.43|1.45|1.46|1.47|1.48|
|    +0.2    |1.35|1.36|1.4 |1.45|1.48|1.48|1.48|1.49|1.50|1.51|1.52|
|    +0.4    |1.4 |1.42|1.46|1.48|1.5 |1.52|1.54|1.54|1.54|1.54|1.56|
|    +0.6    |1.4 |1.42|1.46|1.5 |1.52|1.55|1.56|1.56|1.58|1.58|1.62|
|    +0.8    |1.35|1.36|1.4 |1.46|1.48|1.52|1.58|1.63|1.65|1.66|1.68|
+-------------------------------------------------------------------+
