Значения коэффициента Khw.
+------------+---------+---------+---------+
|Твердость,  |Окружная |Значение |Значение |
|активной    |скорость,| коеф-та | коеф-та |
|поверхн зуб |  м/с    |   Khw   |   Kfw   |
|    HRC     |         |         |         |
+------------+---------+---------+---------+
|   47       |   1     |   0.62  |   0.9   |
|   47       |   2     |   0.65  |   0.96  |
|   47       |   4     |   0.7   |   1     |
|   47       |   6     |   0.8   |   1     |
|   47       |   8     |   1     |   1     |
+------------+---------+---------+---------+
|   50       |   1     |   0.72  |   0.95  |
|   50       |   2     |   0.76  |   1     |
|   50       |   4     |   0.85  |   1     |
|   50       |   6     |   0.96  |   1     |
|   50       |   8     |   1     |   1     |
+------------+---------+---------+---------+
|   60       |   1     |   0.8   |   1     |
|   60       |   2     |   0.85  |   1     |
|   60       |   4     |   0.96  |   1     |
|   60       |   6     |   1     |   1     |
|   60       |   8     |   1     |   1     |
+------------+---------+---------+---------+
болше 8 м/с =1
