Значения коэффициента YF0 для внутр зацепления.
+------------+---------+---------+-----------------------+
|Коэфф       |число    |     число зубьев                |
|смещения    |зубьев   |        колеса                   |
|     x      |шестерни |---------------------------------|
|            |         |  40 |  50  |  60  |  80  | 100  |
+------------+---------+---------+-----------------------+
|     0      |   13    | 2.52| 2.46 | 2.4  | 2.35 | 2.35 |
|            |         | 2.72| 2.73 | 2.74 | 2.73 | 2.72 |
|    +0.3    |   13    | 2.5 | 2.46 | 2.4  | 2.35 | 2.35 |
|            |         | 2.43| 2.52 | 2.58 | 2.66 | 2.7  |
|    +0.6    |   13    | 2.48| 2.44 | 2.38 | 2.35 | 2.35 |
|            |         | 2.23| 2.33 | 2.41 | 2.54 | 2.63 |
|    +1.0    |   13    | 2.48| 2.44 | 2.38 | 2.35 | 2.35 |
|            |         | 2.0 | 2.12 | 2.23 | 2.41 | 2.5  |
+------------+---------+-----+------+------+------+------+
|     0      |   14    | 2.5 | 2.44 | 2.38 | 2.32 | 2.3  |
|            |         | 2.72| 2.73 | 2.74 | 2.73 | 2.72 |
|    +0.3    |   14    | 2.48| 2.44 | 2.38 | 2.32 | 2.3  |
|            |         | 2.43| 2.52 | 2.58 | 2.66 | 2.7  |
|    +0.6    |   14    | 2.46| 2.42 | 2.36 | 2.30 | 2.3  |
|            |         | 2.23| 2.33 | 2.41 | 2.54 | 2.63 |
|    +1.0    |   14    | 2.46| 2.42 | 2.36 | 2.30 | 2.3  |
|            |         | 2.06| 2.12 | 2.23 | 2.41 | 2.5  |
+------------+---------+-----+------+------+------+------+
|     0      |   17    | 2.48| 2.4  | 2.35 | 2.3  | 2.2  |
|            |         | 2.62| 2.63 | 2.64 | 2.63 | 2.62 |
|    +0.3    |   17    | 2.46| 2.4  | 2.35 | 2.3  | 2.2  |
|            |         | 2.36| 2.43 | 2.49 | 2.56 | 2.6  |
|    +0.6    |   17    | 2.44| 2.38 | 2.32 | 2.25 | 2.2  |
|            |         | 2.15| 2.24 | 2.32 | 2.46 | 2.53 |
|    +1.0    |   17    | 2.44| 2.38 | 2.32 | 2.25 | 2.2  |
|            |         | 2.0 | 2.05 | 2.15 | 2.32 | 2.41 |
+------------+---------+-----+------+------+------+------+
|     0      |   19    | 2.45| 2.38 | 2.32 | 2.28 | 2.1  |
|            |         | 2.62| 2.63 | 2.64 | 2.63 | 2.62 |
|    +0.3    |   19    | 2.43| 2.36 | 2.32 | 2.26 | 2.1  |
|            |         | 2.36| 2.43 | 2.49 | 2.56 | 2.6  |
|    +0.6    |   19    | 2.42| 2.35 | 2.30 | 2.24 | 2.1  |
|            |         | 2.15| 2.24 | 2.32 | 2.46 | 2.53 |
|    +1.0    |   19    | 2.42| 2.35 | 2.30 | 2.2  | 2.1  |
|            |         | 2.0 | 2.05 | 2.15 | 2.32 | 2.41 |
+------------+---------+-----+------+------+------+------+
|     0      |   25    |     | 2.3  | 2.2  | 2.12 | 2.02 |
|            |         |     | 2.55 | 2.56 | 2.55 | 2.54 |
|    +0.3    |   25    |     | 2.28 | 2.2  | 2.1  | 2.02 |
|            |         |     | 2.36 | 2.42 | 2.5  | 2.53 |
|    +0.6    |   25    |     | 2.26 | 2.18 | 2.08 | 2.02 |
|            |         |     | 2.18 | 2.26 | 2.39 | 2.46 |
|    +1.0    |   25    |     | 2.26 | 2.18 | 2.06 | 2.02 |
|            |         |     | 2.0  | 2.09 | 2.26 | 2.34 |
+------------+---------+-----+------+------+------+------+
|     0      |   33    |     |      | 2.08 | 2.04 | 2.0  |
|            |         |     |      | 2.56 | 2.55 | 2.54 |
|    +0.3    |   33    |     |      | 2.08 | 2.04 | 2.0  |
|            |         |     |      | 2.42 | 2.5  | 2.53 |
|    +0.6    |   33    |     |      | 2.06 | 2.02 | 2.0  |
|            |         |     |      | 2.26 | 2.39 | 2.46 |
|    +1.0    |   33    |     |      | 2.06 | 2.02 | 2.0  |
|            |         |     |      | 2.09 | 2.26 | 2.34 |
+------------+---------+-----+------+------+------+------+
