		 Допуск на среднюю длину общей нормали

+-----+-----+--------------------------------------------------------------------------------------------------------------------------------------+
|Вид  |Вид  |     Допуск на радиальное биение зубчатого венца Fr                                                                                   |
|сопря|допус|----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+------|------|------|------|------|------|------|------|
|жения|ка   |    |св.8 |св.10|св.12|св.16|св.20|св.25|св.32|св.40|св.50|св.60|св. 80|св.100|св.125|св.160|св.200|св.250|св.320|св.400|св.500|св.630|
|     |     |до 8|до 10|до 12|до 16|до 20|до 25|до 32|до 40|до 50|до 60|до 80|до 100|до 125|до 160|до 200|до 250|до 320|до 400|до 500|до 630|до 800|
+-----+-----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+------+------+------+------+------+------+------+------+
| H,E |  h  | 16 | 16  | 18  |  20 |  20 |  20 |  22 |  25 |  25 |  28 |  30 |   40 |   55 |   70 |   80 |  100 |  100 |  140 |  160 |  200 |  280 |
| D   |  d  | 20 | 25  | 25  |  25 |  28 |  30 |  35 |  40 |  40 |  40 |  60 |   70 |   80 |  100 |  120 |  140 |  160 |  240 |  250 |  350 |  500 |
| C   |  c  | 28 | 30  | 30  |  35 |  40 |  45 |  45 |  50 |  60 |  70 |  90 |  110 |  120 |  140 |  180 |  240 |  280 |  300 |  400 |  550 |  600 |
| B   |  b  | 35 | 40  | 40  |  40 |  45 |  50 |  55 |  60 |  70 | 100 | 100 |  120 |  140 |  200 |  250 |  300 |  350 |  450 |  550 |  700 |  900 |
| A   |  a  | 45 | 50  | 50  |  55 |  60 |  60 |  80 |  90 | 100 | 110 | 140 |  150 |  180 |  240 |  280 |  350 |  450 |  550 |  700 |  800 | 1000 |
| -   |  z  | 60 | 60  | 60  |  70 |  70 |  80 | 100 | 110 | 120 | 140 | 180 |  200 |  250 |  300 |  400 |  500 |  600 |  800 |  800 | 1100 | 1400 |
| -   |  y  | 70 | 80  | 90  |  90 | 100 | 110 | 120 | 160 | 180 | 220 | 240 |  300 |  350 |  400 |  500 |  600 |  800 |  900 | 1100 | 1400 | 2000 |
| -   |  x  | 90 | 100 | 100 | 100 | 120 | 140 | 160 | 180 | 220 | 250 | 300 |  350 |  400 |  550 |  700 |  800 | 1100 |  1200| 1400 | 1800 | 2400 |
+-----+-----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+------+------+------+------+------+------+------+------+

