     Номинальная мощность узких клиновых ремней N0
+-------------+--------------------------------------------+
|     |       |    |                                       |
|     |Типов  |диам|       Скорость ремня v, мм/с          |
|сечен|Длина  |мень|                                       |
|ремня|       |шкив+---------------------------------------+
|     |  L0   | d1 |  3 | 5  |  10 | 15  | 20  | 25  |  30 |
+----------------------------------------------------------+
| УО  |1600   |63  |0.68|0.95| 1.5 | 1.8 | 1.85|  -  |  -  |
| УО  |1600   |71  |0.78|1.18| 1.95| 2.46| 2.73| 2.65|  -  | 
| УО  |1600   |80  |0.9 |1.38| 2.34| 3.06| 3.5 | 3.66|  -  |
| УО  |1600   |90  |0.92|1.55| 2.65| 3.57| 4.2 | 4.5 | 4.55|
| УО  |1600   |100 |1.07|1.66| 2.92| 3.95| 4.72| 5.2 | 5.35|
| УО  |1600   |112 |1.15|1.8 | 3.2 | 4.35| 5.25| 5.85| 6.15|
| УО  |1600   |125 |1.22|1.9 | 3.4 | 4.7 | 5.7 | 6.42| 6.85|
| УА  |2500   |90  |1.08|1.56| 2.57|  -  |  -  |  -  |  -  |
| УА  |2500   |100 |1.26|1.89| 3.15| 4.04| 4.46|  -  |  -  |
| УА  |2500   |112 |1.41|2.17| 3.72| 4.88| 5.61| 5.84|  -  |
| УА  |2500   |125 |1.53|2.41| 4.23| 5.67| 6   | 7.12| 7.1 |
| УА  |2500   |140 |1.72|2.64| 4.7 | 6.3 | 7.56| 8.25| 8.43|
| УА  |2500   |160 |1.84|2.88| 5.17| 7.03| 8.54| 9.51| 9.94|
| УБ  |3550   |140 |1.96|2.95| 5   | 6.37|  -  |  -  |  -  |
| УБ  |3550   |160 |2.24|3.45| 5.98| 7.88| 9.10| 9.49|  -  |
| УБ  |3550   |180 |2.46|3.8 | 6.7 | 9.05| 10.6| 11.4| 11.5|
| УБ  |3550   |200 |2.64|4.12| 7.3 | 10  | 11.9| 13.1| 13.3|
| УБ  |3550   |224 |2.81|4.26| 7.88| 10.7| 13  | 14.6| 15.1|
+-----+-----------------------------+----------------------+
