	Номинальная мощность клиновых ремней сечения A при L0=1700mm
+-----------+---------------------------------------------------------+
|     |     |                                                         |
| d1  |     |     Частота вращения меньшего шкива, мин-1              |
|диам |     |                                                         |
|мень | u   |---------------------------------------------------------+
|шкив |     | 700| 800| 950| 1200| 1450| 1600| 2000| 2400| 2800| 3200 |
+---------------------------------------------------------------------+
| 90  | 1   |0.61|0.68|0.77| 0.93| 1.07| 1.15| 1.34| 1.5 | 1.64| 1.75 |
| 90  | 1.5 |0.67|0.75|0.85| 1.02| 1.18| 1.27| 1.48| 1.66| 1.82| 1.94 |
| 90  | 3>  |0.69|0.77|0.88| 1.05| 1.21| 1.31| 1.53| 1.71| 1.87| 2.00 |
| 100 | 1   |0.74|0.83|0.95| 1.14| 1.32| 1.42| 1.66| 1.87| 2.05| 2.19 |
| 100 | 1.5 |0.82|0.91|1.05| 1.25| 1.45| 1.57| 1.84| 2.07| 2.27| 2.42 |
| 100 | 3>  |0.84|0.94|1.08| 1.3 | 1.5 | 1.62| 1.89| 2.14| 2.34| 2.49 |
| 112 | 1   |0.90|1.00|1.15| 1.39| 1.61| 1.74| 2.04| 2.3 | 2.51| 2.68 |
| 112 | 1.5 |0.99|1.11|1.27| 1.25| 1.78| 1.92| 2.25| 2.54| 2.78| 2.96 |
| 112 | 3>  |1.02|1.14|1.31| 1.3 | 1.84| 1.98| 2.33| 2.62| 2.87| 3.05 |
| 125 | 1   |1.07|1.19|1.37| 1.66| 1.92| 2.07| 2.44| 2.74| 2.98| 3.16 |
| 125 | 1.5 |1.18|1.32|1.52| 1.83| 2.13| 2.29| 2.69| 3.03| 3.3 | 3.49 |
| 125 | 3>  |1.22|1.36|1.57| 1.89| 2.19| 2.36| 2.78| 3.12| 3.4 | 3.6  |
| 140 | 1   |1.26|1.41|1.62| 1.96| 2.28| 2.45| 2.87| 3.22| 3.48| 3.65 |
| 140 | 1.5 |1.39|1.56|1.79| 2.17| 2.51| 2.71| 3.17| 3.56| 3.85| 4.03 |
| 140 | 3>  |1.43|1.6 |1.85| 2.24| 2.59| 2.79| 3.27| 3.67| 3.97| 4.16 |
| 160 | 1   |1.51|1.69|1.95| 2.36| 2.73| 2.94| 3.42| 3.8 | 4.06| 4.19 |
| 160 | 1.5 |1.67|1.87|2.15| 2.6 | 3.02| 3.24| 3.78| 4.2 | 4.49| 4.63 |
| 160 | 3>  |1.72|1.93|2.22| 2.69| 3.11| 3.35| 3.9 | 4.33| 4.63| 4.78 |
| 180 | 1   |1.76|1.97|2.27| 2.74| 3.16| 3.63| 4.32| 4.54| 4.58|   -  |
| 180 | 1.5 |1.94|2.17|2.51| 3.03| 3.5 | 3.75| 4.34| 4.77| 5.02|   -  |
| 180 | 3>  |2.0 |2.24|2.59| 3.12| 3.61| 3.87| 4.48| 4.93| 5.18|   -  |
+-----+-----------------------------+---------------------------------+
