	Номинальная мощность кВт клиновых ремней сечения C при L0=3750 mm
+-----------+---------------------------------------------------------+
|     |     |                                                         |
| d1  |     |     Частота вращения меньшего шкива, мин-1              |
|диам |     |                                                         |
|мень | u   |---------------------------------------------------------+
|шкив |     | 700| 800| 950| 1100| 1200| 1300| 1450| 1600| 1800| 2000 |
+---------------------------------------------------------------------+
| 200 | 1   |3.69|4.07|4.58| 5.03| 5.29| 5.53| 5.84| 6.07| 6.28| 6.34 |
| 200 | 1.5 |4.08|4.49|5.06| 5.55| 5.85| 6.11| 6.45| 6.71| 6.94| 7.01 |
| 200 | 3>  |4.21|4.64|5.22| 5.73| 6.03| 6.31| 6.66| 6.93| 7.16| 7.23 |
| 224 | 1   |4.64|5.12|5.78| 6.36| 6.71| 7.01| 7.45| 7.75| 8.0 | 8.00 |
| 224 | 1.5 |5.12|5.65|6.38| 7.03| 7.45| 7.8 | 8.23| 8.56| 8.84| 8.91 |
| 224 | 3>  |5.29|5.83|6.58| 7.25| 7.69| 8.04| 8.49| 8.83| 9.12| 9.19 |
| 250 | 1   |5.64|6.23|7.04| 7.73| 8.21| 8.58| 9.04| 9.38| 9.63| 9.62 |
| 250 | 1.5 |6.23|6.88|7.82| 8.61| 9.07| 9.48| 9.99|10.36|10.63|10.62 |
| 250 | 3>  |6.43|7.1 |8.07| 8.88| 9.36| 9.78| 10.3|10.69|10.97|10.96 |
| 280 | 1   |6.76|7.53|8.49| 9.32| 9.81|10.22|10.72|11.00|11.22|11.04 |
| 280 | 1.5 |7.52|8.3 |9.37|10.3 |10.83|11.29|11.84|12.21|12.39|12.19 |
| 280 | 3>  |7.76|8.57|7.67|10.62|11.17|11.65|12.22|12.6 |12.79|12.58 |
| 315 | 1   |8.09 |8.92 |10.05|11.00|11.53|11.97|12.46|12.72|12.67|12.14 |
| 315 | 1.5 |8.93 |9.86 |11.1 |12.15|12.73|13.22|13.76|14.05|14.00|12.41 |
| 315 | 3>  |9.21 |10.17|11.45|12.53|13.14|13.64|14.2 |14.49|14.44|12.83 |
| 355 | 1   |9.5  |10.46|11.73|12.76|13.31|13.73|14.12|14.19|13.73|  -   |
| 355 | 1.5 |10.49|11.56|12.95|14.09|14.7 |15.17|15.59|15.67|15.17|  -   |
| 355 | 3>  |10.82|11.92|13.36|14.54|15.16|15.64|16.09|16.17|15.65|  -   |
| 400 | 1   |11.02|12.1 |13.48|14.53|15.04|15.37|15.73|  -  |  -  |  -   |
| 400 | 1.5 |12.17|13.37|14.89|16.05|16.61|16.98|17.15|  -  |  -  |  -   |
| 400 | 3>  |12.56|13.79|15.36|16.56|17.13|17.52|17.7 |  -  |  -  |  -   |
| 450 | 1   |12.63|13.8 |15.23|16.21|16.59|16.74|  -  |  -  |  -  |  -   |
| 450 | 1.5 |13.95|15.24|16.82|17.91|18.33|18.49|  -  |  -  |  -  |  -   |
| 450 | 3>  |14.39|15.72|17.35|18.47|18.91|19.07|  -  |  -  |  -  |  -   |
+-----+-----------------------------+---------------------------------+
