	Номинальная мощность кВт клиновых ремней сечения E при L0=7100 mm
+-----------+------------------------------------------------------------+
|     |     |                                                            |
| d1  |     |     Частота вращения меньшего шкива, мин-1                 |
|диам |     |                                                            |
|мень | u   |------------------------------------------------------------+
|шкив |     | 450 | 500 | 550 |  600|  650|  700|  750| 800 | 850 | 950  |
+------------------------------------------------------------------------+
| 500 | 1   |20.16|21.65|23.00|24.21|25.29|26.21|26.97|27.57|28   |28.32 |
| 500 | 1.5 |22.28|23.92|25.41|26.75|27.94|28.96|29.8 |30.46|30.94|31.28 |
| 500 | 3>  |22.98|24.67|26.21|27.6 |28.82|29.87|30.74|31.43|31.92|32.27 |
| 560 | 1   |24.45|26.25|27.86|29.3 |30.55|31.59|32.42|33.03|33.4 |33.4  |
| 560 | 1.5 |27.02|29.00|30.79|32.37|33.75|34.9 |35.82|36.49|36.9 |36.9  |
| 560 | 3>  |27.87|29.91|31.76|33.4 |34.82|36.01|36.95|37.65|38.07|38.07 |
| 630 | 1   |29.26|31.36|33.22|34.83|36.19|37.26|38.04|38.52|38.66|37.92 |
| 630 | 1.5 |32.33|34.65|36.7 |38.49|39.98|41.17|42.03|42.56|42.72|41.89 |
| 630 | 3>  |33.35|35.74|37.86|39.7 |41.25|42.47|43.36|43.9 |44.07|43.22 |
| 710 | 1   |34.49|36.85|38.88|40.58|41.92|42.87|43.41|43.52|43.18|  -   |
| 710 | 1.5 |38.1 |40.71|42.96|44.84|46.32|47.37|47.97|48.09|47.71|  -   |
| 710 | 3>  |39.31|42.00|44.32|46.26|47.78|48.87|49.49|49.61|49.22|  -   |
| 800 | 1   |40.00|42.53|44.63|46.26|47.38|47.96|47.97|  -  |  -  |  -   |
| 800 | 1.5 |44.19|47.00|49.31|51.11|52.35|52.99|53.01|  -  |  -  |  -   |
| 800 | 3>  |45.59|48.48|50.87|52.73|54.01|54.67|54.68|  -  |  -  |  -   |
| 900 | 1   |45.63|48.2 |50.17|51.48|52.09|  -  |  -  |  -  |  -  |  -   |
| 900 | 1.5 |50.41|53.26|55.43|56.88|57.56|  -  |  -  |  -  |  -  |  -   |
| 900 | 3>  |52.01|54.94|57.18|58.68|59.38|  -  |  -  |  -  |  -  |  -   |
|1000 | 1   |50.69|53.12|54.73|55.45|  -  |  -  |  -  |  -  |  -  |  -   |
|1000 | 1.5 |56.01|58.69|60.47|61.27|  -  |  -  |  -  |  -  |  -  |  -   |
|1000 | 3>  |57.78|60.55|62.38|63.21|  -  |  -  |  -  |  -  |  -  |  -   |
+-----+-----------------------------+------------------------------------+
