	Номинальная мощность кВт клиновых ремней сечения EO при L0=8500 mm
+-----------+------------------------------------------------------------+
|     |     |                                                            |
| d1  |     |     Частота вращения меньшего шкива, мин-1                 |
|диам |     |                                                            |
|мень | u   |------------------------------------------------------------+
|шкив |     | 250 | 300 | 350 |  400|  450|  500|  550| 600 | 650 | 700  |
+------------------------------------------------------------------------+
| 800 | 1   |27.67|31.65|35.18|38.27|40.85|43.35|44.38|45.26|45.34|44.82 |
| 800 | 1.5 |30.76|35.18|39.45|43.13|46.37|48.94|51.08|52.48|53.43|53.14 |
| 800 | 3>  |31.87|36.51|40.85|44.82|48.21|50.93|53.29|54.9 |56.08|55.94 |
| 900 | 1   |33.56|38.2 |42.17|45.7 |48.43|50.71|52.62|52.62|52.33|  -   |
| 900 | 1.5 |36.58|41.73|46.37|50.64|53.95|56.67|59.32|59.84|59.62|  -   |
| 900 | 3>  |37.61|43.05|47.77|52.26|55.86|58.73|61.53|62.26|63.00|  -   |
|1000 | 1   |38.64|44.08|48.65|52.69|55.57|57.78|58.29|58.36|  -  |  -   |
|1000 | 1.5 |41.66|47.32|52.99|57.48|61.01|64.55|64.99|66.17|  -  |  -   |
|1000 | 3>  |42.69|49.02|54.39|59.17|62.93|66.53|67.19|68.15|  -  |  -   |
|1120 | 1   |44.97|51.08|56.3 |61.97|62.85|64.4 |64.77|  -  |  -  |  -   |
|1120 | 1.5 |47.99|54.68|59.91|66.83|68.37|70.51|71.39|  -  |  -  |  -   |
|1120 | 3>  |49.02|55.94|62.04|68.45|70.21|72.49|73.6 |  -  |  -  |  -   |
|1250 | 1   |51.45|58.14|63.81|67.27|69.55|69.92|  -  |  -  |  -  |  -   |
|1250 | 1.5 |54.46|61.82|68.08|72.57|75.07|76.03|  -  |  -  |  -  |  -   |
|1250 | 3>  |55.57|63.07|69.55|73.75|76.91|78.02|  -  |  -  |  -  |  -   |
|1400 | 1   |58.51|65.79|71.02|74.26|74.7 |  -  |  -  |  -  |  -  |  -   |
|1400 | 1.5 |61.53|69.48|75.22|79.12|80.22|  -  |  -  |  -  |  -  |  -   |
|1400 | 3>  |62.56|70.66|77.21|80.81|82.06|  -  |  -  |  -  |  -  |  -   |
+-----+-----------------------------+------------------------------------+
