	Номинальная мощность кВт клиновых ремней сечения УВ при L0=5600 mm
+-----------+------------------------------------------------------------+
|     |     |                                                            |
| d1  |     |     Частота вращения меньшего шкива, мин-1                 |
|диам |     |                                                            |
|мень | u   |------------------------------------------------------------+
|шкив |     | 950 | 1450| 2800|
+------------------------------------------------------------------------+
| 224 | 2   |11.3 |14.9 |15.2 |
| 224 | 3>  |12.4 |16.7 |18.6 |
| 250 | 2   |13.6 |18.0 |16.9 |
| 250 | 3>  |14.8 |19.7 |20.3 |
| 280 | 2   |16.3 |21.2 |17.4 |
| 280 | 3>  |17.4 |22.9 |20.8 |
| 315 | 2   |19.1 |24.6 |  -  |
| 315 | 3>  |20.3 |26.3 |  -  |
+-----+-----------------------------+------------------------------------+
