		Таблица соотношений твердостей материалов, выраженных 
                        в единицах HB, HV, HRC
	  	(записи должны быть расположены в возрастающем порядке)

+-------+-------+--------+
|   HB  |  HV   |   HRC  |
+-------+-------+--------+
|  76   |  80   |    -   |
|  100  |  105  |    -   |
|  133  |  140  |    -   |
|  160  |  169  |  7.4   |
|  180  |  189  |  11.1  |
|  200  |  211  |  14.7  |
|  220  |  231  |  18.1  |
|  240  |  253  |  21.3  |
|  260  |  274  |  24.4  |
|  280  |  295  |  27.3  |
|  300  |  315  |  30.1  |
|  320  |  337  |  32.7  |
|  340  |  358  |  35.2  |
|  360  |  379  |  37.5  |
|  380  |  400  |  39.7  |
|  400  |  420  |  41.7  |
|  420  |  444  |  43.6  |
|  440  |  465  |  45.3  |
|  460  |  490  |  47.7  |
|  480  |  518  |  49.5  |
|  500  |  546  |  51.2  |
|  520  |  580  |  52.6  |
|  540  |  620  |  53.8  |
|  560  |  660  |  55.0  |
|  580  |  705  |  55.7  |
|  600  |  750  |  56.8  |
|  620  |  780  |  58.0  |
|  640  |  840  |  59.0  |
|  660  |  870  |  61.0  |
|  680  |  910  |  62.5  |
|  700  |  950  |  63.6  |
|  720  |  990  |  64.6  |
|  740  | 1030  |  65.7  |
|  760  | 1070  |  66.5  |
|  770  | 1110  |  67.0  |
+-------+-------+--------+
