Число зубьев колеса, охватываемых при измерении (Zn)
цилиндр прямозубых колес с числом зубьев (z)
+------------------------+ 
|   z   |     Zn         |
+-------+----------------+
|   2   |     7-18       |
|   3   |    19-27       |
|   4   |    28-36       |
|   5   |    37-45       |
|   6   |    46-54       |
|   7   |    55-63       |
|   8   |    64-72       |
|   9   |    73-81       |
|  10   |    82-90       |
|  11   |    91-99       |
|  12   |   100-108      |
|  13   |   109-117      |
|  14   |   118-126      |
|  15   |   127-135      |
|  16   |   136-144      |
|  17   |   145-153      |
|  18   |   154-162      |
|  19   |   163-171      |
|  20   |   172-180      |
|  21   |   181-189      |
|  22   |   190-198      |
|  23   |   199-200      |
+-------+-------+--------+
