Поправка на высоту ножки зуба
для конических ЗК.

+-----+--------+
| mn  |delta hf|
+-----+--------+
|0.4  | 0.018  |
|0.45 | 0.020  |
|0.5  | 0.060  |
|0.55 | 0.005  |
|0.6  | 0.045  |
|0.7  | 0.016  |
|0.8  | 0.097  |
|0.9  | 0.040  |
|1.0  |-0.016  |
|1.125| 0.060  |
|1.25 | 0.036  |
|1.375| 0.012  |
|1.5  |-0.010  |
|1.75 | 0.077  |
|2.0  | 0.030  |
|2.25 | 0.119  |
|2.5  | 0.072  |
|2.75 | 0.024  |
|3.0  |-0.024  |
|3.5  | 0.155  |
|4.0  | 0.060  |
|4.5  | 0.239  |
|5.0  | 0.143  |
|5.5  | 0.048  |
|6.0  |-0.047  |
|7.0  | 0.036  |
|8.0  | 0.120  |
|9.0  |-0.071  |
|10.0 | 0.150  |
|11.0 | 0.371  |
|12.0 |-0.095  |
|14.0 | 0.347  |
|16.0 | 0.789  |
|18.0 |-0.143  |
|20.0 | 0.299  |
|22.0 | 0.741  |
|25.0 | 0.718  |
+-----+--------+
