   ћј“≈–»јЋ ƒЋя „≈–¬я ќ¬ и „≈–¬я„Ќџ’  ќЋ≈—
+---------------------------------------------------------+
|ћј“≈–»јЋ       |Cпособ          |   ƒопуск напр€ж, ћѕа                  |
|               |лить€           |------------------------|
|               |                |  контакт  |  изгиб     |
+---------------------------------------------------------+
|Ѕрќ‘-10-1      |в песчаную форму|    560    |    112     |
|Ѕрќ‘-10-1      |в кокиль        |    600    |    120     |
|ЅрќЌ‘          |центробежное    |    680    |    136     |
|Ѕрќ÷—6-3-3     |в песчаную форму|    320    |     64     |
|Ѕрќ÷—6-3-3     |в кокиль        |    360    |    72      |
|Ѕрќ÷—5-5-5     |в кокиль        |    400    |    80      |
|Ѕр—уЌ7-2       |-               |    320    |    64      |
|Ѕрј∆-9-4       |в кокиль        |    400    |    160     |
|Ѕрј∆Ќ-10-4-4   |в кокиль        |    400    |    160     |
|Ѕрј∆ћц-10-3-1.5|в кокиль        |    400    |    160     |
|Ѕрј∆ћц-66-63-2 |в кокиль        |    480    |    192     |
|Ћћц—58-2-2     |в кокиль        |    280    |    112     |
|Ћћц—ќ58-2-2-2  |в кокиль        |    760    |    304     |
|—„ 12-38       |-               |    287    |    168     |
|—„ 15-38       |-               |    202    |    192     |
|—„ 18-36       |-               |    202    |    216     |
+---------------------------------------------------------+
