ГОСТ 16118-70	Значения предельных отклонений высоты пружины сжатия в свободном состоянии на один рабоч виток
+-----+------+------------+---------------+--------------------------------------+----------------+---------------------------
|              | 					                  Диаметр проволоки (мм)						                              |
| Величина     |--------------------------------------------------------------------------------------------------------------
| отношения    |  0.2-0.3  |  0.36-0.6 |  0.7-1.4  |    1.6-3     |     3.5-6    |      7-12    |    14-25     |   28-50      |
| с1=f3/d      |--------------------------------------------------------------------------------------------------------------
|              |                                               группы точности                                                                  |
|              |--------------------------------------------------------------------------------------------------------------|
|              |  2  |  3  |  2  |  3  |  2  |  3  | 1  | 2  | 3  | 1  | 2  | 3  | 1  | 2  | 3  | 1  | 2  | 3  | 1  | 2  | 3  | 
+--------------+--------------------------------------------------------------------------------------------------------------
|    до 0.4    |0.032|0.07 |0.045|0.09 |0.055| 0.11|0.08|0.16|0.32|0.16|0.32|0.7 |0.24|0.5 |1   |0.5 |1   |2   |0.8 |1.6 |3.2 | 
|св 0.4 до 0.63|0.036|0.075|0.052|0.1  |0.065| 0.13|0.09|0.18|0.36|0.18|0.36|0.75|0.28|0.6 |1.1 |0.6 |1.1 |2.2 |0.9 |1.8 |3.6 | 
|св 0.63 до 1  |0.045|0.09 |0.06 |0.12 |0.075| 0.15|0.11|0.22|0.45|0.22|0.45|0.9 |0.32|0.7 |1.4 |0.7 |1.4 |2.8 |1.1 |2.2 |4.4 | 
|св 1 до 1.6   |0.055|0.12 |0.08 |0.16 |0.095| 0.19|0.13|0.26|0.55|0.26|0.55|1.2 |0.4 |0.9 |1.8 |0.9 |1.8 |3.6 |1.3 |2.6 |5.2 | 
|св 1.6 до 2.5 |0.075|0.15 |0.1  |0.21 |0.13 | 0.26|0.18|0.36|0.75|0.36|0.75|1.5 |0.55|1.2 |2.4 |1.2 |2.4 |4.8 |1.8 |3.6 |7   | 
|св 2.5 до 4   |0.1  |0.21 |0.15 |0.3  |0.18 | 0.36|0.25|0.5 |1   |0.5 |1   |2   |0.75|1.6 |3.2 |1.6 |3.2 |6.4 |2.5 |5   |10  | 
|    св 4      |0.15 |0.3  |0.21 |0.42 |0.26 | 0.52|0.36|0.7 |1.5 |0.7 |1.5 |3   |1.1 |2.4 |4.8 |2.4 |4.8 |9.5 |3.6 |7   |14  |
+-----------------------------------------------------------------------------------------------------------------------------

