

       КЛАССЫ
+---------+-----------+-------------+-------------+-------------¬
|   Класс | Пружины   | Нагружение  | Выносливость| Инерционное |
| пружины |           |             |  в циклах,  | соударение  | 
|         |           |             | не менее	  | витков	|	
+---------+-----------+-------------+-------------+-------------+
|    1    |Сжатия и   |Циклическое  |    5E6      |     -       |
|	  |растяжения |             | 		  |		|	
|    2    |Сжатия и   |Циклическое  |    1E5      |     -       |
|         |растяжения |и статическое|             |		|	
|	  |	      |	            |		  |	        |	
|    3    |Сжатия     |Циклическое  |    2E3      |   м.б.      |	
+---------+-----------+---------------------------+-------------+

