      						Разряды пружин
+-----+------+------------+---------------+--------------------------------------+----------------+---------¬
|Класс|Разряд|   Вид      | Сила пружины  |            Проволока                 |Мах.касательное |ГОСТ на   |
|     |      |            | при мах.      |--------------------------------------|напряжение      |параметры |
|     |      |(одножильн) | деформ, P3,кгс|        |        |          |         |при кручении,   |витков    |
|     |      |            |               |Диаметр,|Марка   |Твердость |  ГОСТ   | t3(кгс/mm2)    |          |
|     |      |            |               | d, mm. |стали,  |после     |         |                |          |
|     |      |            |               |        |ГОСТ    |термообраб|         |                |          | 
+-----+------+------------+---------------+--------+--------+----------+---------+----------------+----------+
|  1  |   1  |Сжатия и    |   0.100-85.0  |0.2-5.0 |        |     -    |9389-75  |     0.3Сигм    | 13766-68 |
|     |      |растяжения  |               |        |1050-74 |          |класс I  |                |          |
|     |      |            |               |        |1435-74 |          |         |                |          |
-------------------------------------------------------------------------------------------------------------
|  1  |   2  |Сжатия и    |   0.100-80.0  |0.2-5.0 |1050-74 |     -    |9389-75  |     0.3Сигм    | 13767-68 |
|     |      |растяжения  |               |        |1435-74 |          |класс    |                |          |
|     |      |            |               |        |        |          |II,IIA   |                |          |
-------------------------------------------------------------------------------------------------------------
|  1  |   3  |Сжатия и    |    14-600     |  3-12  |60С2A   |   46-52  |14963-69 |     56         | 13768-68 |
|     |      |растяжения  |               |        |65C2BA  |          |         |                |          |
|     |      |            |               |        |14963-69|          |         |                |          |
|     |      |            |               |        |50XФА   |   44-50  |         |                |          |
|     |      |            |               |        |14963-69|          |         |                |          |
-------------------------------------------------------------------------------------------------------------
|  2  |   1  |Сжатия и    |  0.150-140.0  |0.2-5.0 |        |     -    |9389-75  |     0.5Сигм    | 13770-68 |
|     |      |растяжения  |               |        |1050-74 |          |класс I  |                |          |
|     |      |            |               |        |1435-74 |          |         |                |          |
-------------------------------------------------------------------------------------------------------------
|  2  |   2  |Сжатия и    |  0.125-125.0  |0.2-5.0 |1050-74 |     -    |9389-75  |     0.5Сигм    | 13771-68 |
|     |      |растяжения  |               |        |1435-74 |          |класс    |                |          |
|     |      |            |               |        |        |          |II,IIA   |                |          |
------------------------------------------------------------------------------------------------------------
|  2  |   3  |Сжатия и    |  23.6-1000    |  3-12  |60С2A   |   46-52  |14963-69 |     96         | 13772-68 |
|     |      |растяжения  |               |        |65C2BA  |          |         |                |          |
|     |      |            |               |        |14963-69|          |         |                |          |
|     |      |            |               |        |65Г     |          |2771-57  |                |          |
|     |      |            |               |        |1050-74 |          |         |                |          |
|     |      |            |               |        |50XФА   |   44-50  |14963-69 |                |          |
|     |      |            |               |        |14963-69|          |         |                |          |
-------------------------------------------------------------------------------------------------------------
|  3  |   2  |Сжатия      |  31.5-1400.0  |  3-12  |60С2A   |   53-57  |14963-69 |     135        | 13775-68 |
|     |      |            |               |        |65C2BA  |          |         |                |          |
|     |      |            |               |        |14963-69|          |         |                |          |
+-----+------+------------+---------------+--------+--------+----------+---------+----------------+----------+

