      			Механические свойства проволоки
+---------+-------------------------------+-------------------+-------------------¬
|Диаметр  |    Временное сопротивление    | Число перегибов,  | Число скручиваний,| 
|проволоки|           в кгс/мм2           |    не менее,      |    не менее,      |
|  мм     |          для классов          |   для классов     |   для классов     |
|         |-------------------------------|-------------------|-------------------|
|         |   I   |  II   |  IIA  |  III  | I  | II |IIA |III | I  | II |IIA |III |
+---------+-------+-------+-------+-------+----+----+----+----+----+----+----+----+
|  0.2    |275-310|230-275|225-270|180-230| -  | -  | -  |  - | 30 | 30 | 32 | 30 |
|  0.22   |275-310|230-275|225-270|180-230| -  | -  | -  |  - | 29 | 29 | 32 | 29 |
|  0.25   |275-310|230-275|225-270|180-230| -  | -  | -  |  - | 27 | 27 | 32 | 27 |
|  0.25   |275-310|230-275|225-270|180-230| -  | -  | -  |  - | 26 | 26 | 31 | 26 |
|  0.30   |275-310|230-275|225-270|180-230| -  | -  | -  |  - | 23 | 23 | 31 | 23 |
|  0.32   |270-305|225-270|220-265|175-225| -  | -  | -  |  - | 22 | 22 | 30 | 22 |
|  0.36   |270-305|225-270|220-265|175-225| -  | -  | -  |  - | 22 | 22 | 30 | 22 |
|  0.4    |265-300|220-265|220-265|170-220| -  | -  | -  |  - | 20 | 21 | 28 | 21 |
|  0.45   |265-300|220-265|220-265|170-220| -  | -  | -  |  - | 17 | 20 | 28 | 20 |
|  0.5    |265-300|220-265|220-265|170-220| -  | -  | -  |  - | 16 | 19 | 27 | 19 |
|  0.56   |265-300|220-265|220-265|170-220| -  | -  | -  |  - | 16 | 19 | 27 | 19 |
|  0.6    |265-300|220-265|220-265|170-220| -  | -  | -  |  - | 16 | 18 | 25 | 18 |
|  0.63   |260-295|220-260|215-260|170-220| -  | -  | -  |  - | 16 | 18 | 25 | 18 |
|  0.7    |260-295|220-260|215-260|170-220| -  | -  | -  |  - | 16 | 18 | 25 | 18 |
|  0.8    |260-295|215-260|215-260|170-215| 11 | 12 | 12 | 12 | 16 | 17 | 24 | 17 |
|  0.9    |255-285|215-255|210-255|165-215| 10 | 11 | 11 | 11 | 16 | 17 | 24 | 17 |
|  1.0    |250-280|210-250|205-250|160-210| 9  | 10 | 10 | 10 | 16 | 17 | 24 | 17 |
|  1.1    |245-275|205-245|195-240|155-205| 8  | 8  | 8  |  9 | 16 | 17 | 24 | 17 |
|  1.2    |240-270|200-240|195-240|155-200| 7  | 7  | 7  |  8 | 16 | 17 | 24 | 17 |
|  1.3    |235-265|200-235|190-230|155-200| 19 | 18 | 18 | 18 | 16 | 17 | 24 | 17 |
|  1.4    |230-260|195-230|190-230|150-195| 17 | 17 | 17 | 17 | 16 | 17 | 24 | 17 |
|  1.5    |225-255|190-225|185-220|145-190| 15 | 15 | 15 | 15 | 16 | 17 | 24 | 17 |
|  1.6    |220-250|190-220|185-220|145-190| 13 | 13 | 13 | 13 | 16 | 17 | 24 | 17 |
|  1.7    |210-240|180-210|180-210|140-180| 11 | 10 | 10 | 11 | 15 | 17 | 24 | 17 |
|  1.8    |210-240|180-210|180-210|140-180| 10 | 10 | 10 | 11 | 15 | 17 | 24 | 17 |
|  1.9    |205-235|180-205|180-210|140-180| 8  | 10 | 9  | 10 | 14 | 17 | 23 | 16 |
|  2.0    |205-230|180-205|180-210|140-180| 8  | 9  | 9  | 10 | 14 | 16 | 23 | 16 |
|  2.1    |200-225|175-200|170-200|140-175| 7  | 8  | 8  |  9 | 13 | 15 | 22 | 15 |
|  2.3    |195-220|170-195|170-200|135-170| 6  | 7  | 7  |  8 | 13 | 15 | 21 | 15 |
|  2.5    |185-210|165-190|165-195|130-165| 6  | 7  | 7  |  8 | 12 | 15 | 21 | 15 |
|  2.8    |180-205|165-190|165-195|130-165| 7  | 9  | 9  | 10 | 11 | 14 | 19 | 14 |
|  3.0    |175-200|165-190|165-195|130-165| 4  | 5  | 5  |  7 | 10 | 13 | 18 | 13 |
|  3.2    |175-200|155-180|155-185|125-155| 4  | 5  | 5  |  7 | 10 | 13 | 18 | 13 |
|  3.5    |170-195|155-180|155-180|125-155| 3  | 5  | 5  |  5 |  8 | 13 | 18 | 13 |
|  3.6    |170-195|155-180|155-180|125-155| 3  | 5  | 5  |  5 |  7 | 13 | 18 | 13 |
|  4.0    |165-190|150-175|150-175|120-150| 4  | 6  | 6  |  6 |  6 | 13 | 18 | 13 |
|  4.2    |160-185|145-170|140-165|115-145| 4  | 5  | 5  |  5 |  6 | 12 | 16 | 12 |
|  4.5    |155-180|140-165|140-165|115-140| 4  | 5  | 5  |  5 |  6 | 12 | 16 | 12 |
|  5.0    |150-175|140-165|140-165|115-140| 3  | 4  | 4  |  4 |  4 |  9 | 13 |  9 |
|  5.6    |145-170|135-160|135-160|110-135| 5  | 6  | 6  |  6 |  4 |  6 |  8 |  6 |
|  6.0    |145-170|135-160|135-160|110-135| 3  | 6  | 6  |  6 |  2 |  4 |  6 |  4 |
+---------+-------+-------+-------+-------+----+----+----+----+----+----+----+----+

