+------------------------------------------------------------------+----------+
|                   ТИП МАТЕРИАЛА                                  |ПЛОТНОСТЬ |
|                                                                  | г/куб.см |
+------------------------------------------------------------------+----------+
|            Сталь прокат                                          |  7.85    |
|            Сталь литая                                           |  7.82    |
|            Сталь конструкционная хромистая                       |  7.82    |
|            Сталь X13                                             |  7.76    |
|            Сталь X17                                             |  7.72    |
|            Сталь X25                                             |  7.65    |
|            Сталь X18H9                                           |  7.9     |
|            Сталь X14H14B                                         |  8.0     |
|            Сталь 50Н                                             |  8.20    |
|            Сталь 65НП                                            |  8.35    |
|            Сталь 80НХС                                           |  8.5     |
|            Сталь 79НМА                                           |  8.85    |
|---------------------------------------------------------------------------- |
|                Ч У Г У Н Ы                                                  |
|-----------------------------------------------------------------------------|
|            Серый чугун                                           |  7.2     |
|            Ковкий чугун                                          |  7.3     |
|            Белый чугун                                           |  7.7     |
|-----------------------------------------------------------------------------|
|                Ц В Е Т Н Ы Е  МЕТАЛЛЫ И СПЛАВЫ                              |
|---------------------------------------------------------------------------- |
|            Алюминий литой                                        |  2.56    |
|     Алюминиевые сплавы литейные:                                 |          |
|            АЛ1                                                   |  2.78    |
|            АЛ2                                                   |  2.64    |
|            АЛ3                                                   |  2.7     |
|            АЛ4                                                   |  2.65    |
|            АЛ5                                                   |  2.68    |
|            АЛ6                                                   |  2.7     |
|            АЛ7                                                   |  2.8     |
|            АЛ8                                                   |  2.6     |
|            АЛ9                                                   |  2.66    |
|            АЛ11                                                  |  2.94    |
|            АЛ13                                                  |  2.63    |
|     Алюминиевые сплавы деформируемые:                            |          |
|            АМц                                                   |  2.73    |
|            АМг                                                   |  2.67    |
|            АК6                                                   |  2.75    |
|            АК4                                                   |  2.8     |
|            АК9                                                   |  2.69    |
|            АД31                                                  |  2.71    |
|            Д1                                                    |  2.8     |
|            Д6                                                    |  2.8     |
|            Д16                                                   |  2.8     |
|            Д18                                                   |  2.75    |
|            В95                                                   |  2.8     |
|     Бронзы оловянистые:                                          |          |
|            Бр.ОЦС 3-12-1                                         |  8.69    |
|            Бр.ОЦС 4-4-4                                          |  8.9     |
|            Бр.ОФ 6,5-0,4                                         |  8.65    |
|            Бр.ОЦ 4-3                                             |  8.8     |
|     Бронзы безоловянные:                                         |          |
|            Бр.АМц 9-2                                            |  8.2     |
|            Бр.АЖ 9-4                                             |  7.5     |
|            Бр.АЖМц 10-3-1,5                                      |  7.5     |
|            Бр.КМц 3-1                                            |  8.4     |
|            Бр.АЖН 11-6-6                                         |  8.1     |
|            Бр.МС 3-25                                            |  9.16    |
|     Латунь, марок:                                               |          |
|            ЛА 67-2,5                                             |  8.5     |
|            ЛАЖ 60-1-1-Л                                          |  8.5     |
|            ЛС 59-1Л                                              |  8.5     |
|            Л62                                                   |  8.3     |
|            ЛКС 80-3-3                                            |  8.6     |
|            Л80                                                   |  8.65    |
|            Л90                                                   |  8.8     |
|            ЛС 64-2                                               |  8.55    |
|      Магниевые сплавы:                                           |          |
|            МЛ2                                                   |  1.8     |
|            МА3                                                   |  1.8     |
|      Цинковые сплавы:                                            |          |
|            Цинк литой                                            |  6.86    |
|            ЦАМ 10-5                                              |  6.3     |
|            ЦАМ 4-0,5                                             |  6.7     |
|            ЦА15                                                  |  5.75    |
|            ЦАМ 4-2,7                                             |  7.0     |
|      Никелиевые сплавы:                                          |          |
|            Никель литой                                          |  8.4     |
|            НМц2,5                                                |  8.9     |
|            НМц 5                                                 |  8.76    |
|            Монель НМЖМц                                          |  8.5     |
|            Мельхиор МНЖМц                                        |  8.76    |
|            Мельхиор МН19                                         |  8.9     |
|            Нейзильбер МНЦ 15-20                                  |  8.7     |
|            Нейзильбер (сплав)                                    |  8.6     |
|                                                                  |          |
|            Литий                                                 |  0.53    |
|            Магний                                                |  1.74    |
|            Медь литая                                            |  8.8     |
|            Медь прокат                                           |  9.0     |
|            Олово литое                                           |  7.2     |
|            Платина                                               |  21.4    |
|            Серебро                                               |  10.35   |
|            Свинец                                                |  11.35   |
|            Ванадий                                               |  5.6     |
|            Золото                                                |  19.3    |
|-----------------------------------------------------------------------------|
|                П Л А С Т М А С С Ы                                          |
|-----------------------------------------------------------------------------|
|            Аминопласт B2,B3,B4,B5                                |  1.8     |
|            Полиэтилен                                            |  0.95    |
|            Капролон В                                            |  1.16    |
|            Текстолит А                                           |  1.3     |
|            Cтеклотекстолит                                       |  1.9     |
|            Фторопласт                                            |  2.16    |
|            Винипласт                                             |  1.38    |
|            Дакрил 2М                                             |  1.19    |
|            Полистирол                                            |  1.08    |
|            Органическое стекло                                   |  1.18    |
|-----------------------------------------------------------------------------|
|                Д Р Е В Е С И Н А                                            |
|-----------------------------------------------------------------------------|
|            Сосна                                                 |  0.54    |
|            Ель                                                   |  0.46    |
|            Лиственница                                           |  0.68    |
|            Береза                                                |  0.64    |
|            Бук                                                   |  0.65    |
|            Дуб                                                   |  0.72    |
|            Липа                                                  |  0.51    |
|-----------------------------------------------------------------------------|
|                П Р О Ч И Е                                                  |
|-----------------------------------------------------------------------------|
|            Бетон                                                 |  2.2     |
|            Графит                                                |  2.3     |
|            Мрамор                                                |  2.7     |
|            Паронит                                               |  2.0     |
|            Прессшпан                                             |  1.3     |
|            Резина                                                |  1.8     |
|            Стекло листовое                                       |  2.5     |
|            Бумага ватман                                         |  1.5     |
|            Пруток сварочный                                      |  1.4     |
|            Лист ПВ-просечка                                      |  3.9     |
|            Лист-ромб                                             |  8.4     |
+------------------------------------------------------------------+----------+

