              Сбеги, недорезы и проточки для выхода 
      внутренней метрической резьбы ГОСТ 27148-86
+----+----+--------------+--------------+---------------------------------+
|шаг |диа-|              |              |                                 |     
|резь|метp|   сбег       |   недорез    |            пpоточка             |     
| бы |    |              |              |                                 |
|    |    |----+----+----+----+----+----+----+-----+----+-----+-----+-----|
|shr | dr | x1 | x2 | x3 | a1 | a2 | a3 | g1n| g1u | g2n| g2u |  dg |  r  |     
+----+----+----+----+----+----+----+----+----+-----+----+-----+-----+-----|
|0.2 | 0.8| 0.4| 0.3| 0.8| 1.6| 1.0| 2.0| 0.8| 0.5 | 1.2| 0.9 |d+0.1| 0.1 | 
|0.25| 1.0| 0.5| 0.3| 1.0| 1.8| 1.2| 2.5| 1.0| 0.6 | 1.4| 1.0 |d+0.1| 0.12| 
|0.25| 1.2| 0.5| 0.3| 1.0| 1.8| 1.2| 2.5| 1.0| 0.6 | 1.4| 1.0 |d+0.1| 0.12| 
|0.3 | 1.4| 0.6| 0.4| 1.2| 2.0| 1.2| 2.8| 1.2| 0.75| 1.6| 1.25|d+0.1| 0.16| 
|0.35| 1.6| 0.7| 0.4| 1.4| 2.2| 1.5| 3.2| 1.4| 0.9 | 1.9| 1.4 |d+0.2| 0.16| 
|0.35| 1.8| 0.7| 0.4| 1.4| 2.2| 1.5| 3.2| 1.4| 0.9 | 1.9| 1.4 |d+0.2| 0.16| 
|0.4 | 2.0| 0.8| 0.6| 1.6| 2.5| 1.5| 3.5| 1.6| 1.0 | 2.2| 1.6 |d+0.2| 0.2 | 
|0.45| 2.2| 0.9| 0.6| 1.8| 3.0| 2.0| 4.0| 1.8| 1.1 | 2.4| 1.7 |d+0.2| 0.2 | 
|0.45| 2.5| 0.9| 0.6| 1.8| 3.0| 2.0| 4.0| 1.8| 1.1 | 2.4| 1.7 |d+0.2| 0.2 | 
|0.5 | 3.0| 1.0| 0.8| 2.0| 3.0| 2.0| 5.0| 2.0| 1.25| 2.7| 2.0 |d+0.3| 0.2 | 
|0.6 | 3.5| 1.2| 0.8| 2.4| 3.5| 2.5| 5.5| 2.4| 1.5 | 3.3| 2.4 |d+0.3| 0.4 | 
|0.7 | 4.0| 1.4| 1.0| 2.8| 3.5| 2.5| 6.0| 2.8| 1.75| 3.8| 2.75|d+0.3| 0.4 | 
