           Сбеги, недорезы и проточки для выхода 
      наружной метрической резьбы ГОСТ 27148-86
+-----+-----+-----------+-----------------+-----------------------+
| шаг | диа-|    сбег   |     недорез     |        пpоточка       |
| резь| метp|           |                 |                       |     
| бы  |     |-----+-----+-----+-----+-----+-----+-----+-----+-----|
| shr |  dr |  x1 |  x2 | a1  |  a2 |  a3 |  dg |  g1 |  g2 |  r  |
|-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----|
| 0.2 | 0.8 | 0.5 | 0.25| 0.6 | 0.4 | 0.8 |d-0.3| 0.32| 0.6 | 0.1 |
| 0.25| 1.0 | 0.6 | 0.3 | 0.75| 0.5 | 1.0 |d-0.4| 0.4 | 0.75| 0.12|
| 0.25| 1.2 | 0.6 | 0.3 | 0.75| 0.5 | 1.0 |d-0.4| 0.4 | 0.75| 0.12|
| 0.3 | 1.4 | 0.75| 0.4 | 0.9 | 0.6 | 1.2 |d-0.5| 0.5 | 0.9 | 0.16|
| 0.35| 1.6 | 0.9 | 0.45| 1.05| 0.7 | 1.4 |d-0.6| 0.6 | 1.05| 0.16|
| 0.35| 1.8 | 0.9 | 0.45| 1.05| 0.7 | 1.4 |d-0.6| 0.6 | 1.05| 0.16|
| 0.4 | 2.0 | 1.0 | 0.5 | 1.2 | 0.8 | 1.6 |d-0.7| 0.6 | 1.2 | 0.2 |
| 0.45| 2.2 | 1.1 | 0.6 | 1.35| 0.9 | 1.8 |d-0.7| 0.7 | 1.35| 0.2 |
| 0.45| 2.5 | 1.1 | 0.6 | 1.35| 0.9 | 1.8 |d-0.7| 0.7 | 1.35| 0.2 |
| 0.5 | 3.0 | 1.25| 0.7 | 1.5 | 1.0 | 2.0 |d-0.8| 0.8 | 1.5 | 0.2 |
| 0.6 | 3.5 | 1.5 | 0.75| 1.8 | 1.2 | 2.4 |d-1.0| 0.9 | 1.8 | 0.4 |
| 0.7 | 4.0 | 1.75| 0.9 | 2.1 | 1.4 | 2.8 |d-1.1| 1.1 | 2.1 | 0.4 |
| 0.75| 4.5 | 1.0 | 1.0 | 2.25| 1.5 | 3.0 |d-1.2| 1.2 | 2.25| 0.4 |
| 0.8 | 5.0 | 2.0 | 1.0 | 2.4 | 1.6 | 3.2 |d-1.3| 1.3 | 2.4 | 0.4 |
| 1.0 | 6.0 | 2.5 | 1.25| 3.0 | 2.0 | 4.0 |d-1.6| 1.6 | 3.0 | 0.6 |
| 1.0 | 7.0 | 2.5 | 1.25| 3.0 | 2.0 | 4.0 |d-1.6| 1.6 | 3.0 | 0.6 |
| 1.25| 8.0 | 3.2 | 1.6 | 3.75| 2.5 | 5.0 |d-2.0| 2.0 | 3.75| 0.6 |
| 1.5 |10.0 | 3.8 | 1.9 | 4.5 | 3.0 | 6.0 |d-2.3| 2.5 | 4.5 | 0.8 |
| 1.75|12.0 | 4.3 | 2.2 | 5.25| 3.5 | 7.0 |d-2.6| 3.0 | 5.25| 1.0 |
| 2.0 |14.0 | 5.0 | 2.5 | 6.0 | 4.0 | 8.0 |d-3.0| 3.4 | 6.0 | 1.0 |
| 2.0 |16.0 | 5.0 | 2.5 | 6.0 | 4.0 | 8.0 |d-3.0| 3.4 | 6.0 | 1.0 |
| 2.5 |18.0 | 6.3 | 3.2 | 7.5 | 5.0 |10.0 |d-3.6| 4.4 | 7.5 | 1.2 |
| 2.5 |20.0 | 6.3 | 3.2 | 7.5 | 5.0 |10.0 |d-3.6| 4.4 | 7.5 | 1.2 |
| 2.5 |22.0 | 6.3 | 3.2 | 7.5 | 5.0 |10.0 |d-3.6| 4.4 | 7.5 | 1.2 |
| 3.0 |24.0 | 7.5 | 3.8 | 9.0 | 6.0 |12.0 |d-4.4| 5.2 | 9.0 | 1.6 |
| 3.0 |27.0 | 7.5 | 3.8 | 9.0 | 6.0 |12.0 |d-4.4| 5.2 | 9.0 | 1.6 |
| 3.5 |30.0 | 9.0 | 4.5 |10.5 | 7.0 |14.0 |d-5.0| 6.2 |10.5 | 1.6 |
| 3.5 |33.0 | 9.0 | 4.5 |10.5 | 7.0 |14.0 |d-5.0| 6.2 |10.5 | 1.6 |
| 4.0 |36.0 |10.0 | 5.0 |12.0 | 8.0 |16.0 |d-5.7| 7.0 |12.0 | 2.0 |
| 4.0 |39.0 |10.0 | 5.0 |12.0 | 8.0 |16.0 |d-5.7| 7.0 |12.0 | 2.0 |
| 4.5 |42.0 |11.0 | 5.5 |13.5 | 9.0 |18.0 |d-6.4| 8.0 |13.5 | 2.0 |
| 4.5 |45.0 |11.0 | 5.5 |13.5 | 9.0 |18.0 |d-6.4| 8.0 |13.5 | 2.0 |
| 5.0 |48.0 |12.5 | 6.3 |15.0 |10.0 |20.0 |d-7.0| 9.0 |15.0 | 2.5 |
| 5.0 |52.0 |12.5 | 6.3 |15.0 |10.0 |20.0 |d-7.0| 9.0 |15.0 | 2.5 |
| 5.5 |56.0 |14.0 | 7.0 |16.5 |11.0 |22.0 |d-7.7|11.0 |17.5 | 3.2 |
| 5.5 |60.0 |14.0 | 7.0 |16.5 |11.0 |22.0 |d-7.7|11.0 |17.5 | 3.2 |
| 6.0 |64.0 |15.0 | 7.5 |18.0 |12.0 |24.0 |d-8.3|11.0 |18.0 | 3.2 |
| 6.0 |68.0 |15.0 | 7.5 |18.0 |12.0 |24.0 |d-8.3|11.0 |18.0 | 3.2 |
+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+-----+
