 
 РАЗМЕРЫ ОПОРНЫХ ПОВЕРХНОСТЕЙ под головки винтов
          ГОСТ 12876-67, РАЗМЕРЫ в ММ

+------------------------------------------------+
| ДИАМЕТР  |Диаметр|  ГЛУБИНА ЦЕКОВКИ по Н14     |
|          |       |-----------------------------+
| РЕЗЬБЫ   |       | цилиндрич. и |с шестигранным|
|          |цековки| полукруглые  |углублением   |
|КРЕПЕЖНОЙ |       | головки      |под ключ      |
|          |       +--------------+--------------+
| ДЕТАЛИ   |по Н14 |безшайб|с шайб|безшайб|с шайб|
+----------+-------+-------+------+-------+------+
|   1.0    |  2.2  |  0.8  |   -  |   -   |   -  |
|   1.2    |  2.5  |  0.9  |   -  |   -   |   -  |
|   1.4    |  2.8  |  1.0  |   -  |   -   |   -  |
|   1.6    |  3.3  |  1.2  |   -  |   -   |   -  |
|   1.8    |  3.8  |  1.5  |   -  |   -   |   -  |
|   2.0    |  4.3  |  1.6  | 2.2  |   -   |   -  |
|   2.5    |  5.0  |  2.0  | 2.7  |   -   |   -  |
|   3.0    |  6.0  |  2.4  | 3.3  |  3.4  | 4.3  | 
|   3.5    |  6.5  |  2.9  | 3.8  |  4.0  |   -  |
|   4.0    |  8.0  |  3.2  | 4.5  |  4.6  | 5.5  |
|   5.0    |  10.0 |  4.0  | 5.5  |  5.7  | 7.0  |
|   6.0    |  11.0 |  4.7  | 6.5  |  6.8  | 8.5  |
|   8.0    |  15.0 |  6.0  | 8.0  |  9.0  | 11.0 |
|   10.0   |  18.0 |  7.0  | 9.5  | 11.0  | 13.5 |
|   12.0   |  20.0 |  8.0  | 11.0 | 13.0  | 16.0 |
|   14.0   |  24.0 |  9.0  | 12.5 | 15.0  | 18.5 |
|   16.0   |  26.0 |  10.5 | 14.0 | 17.5  | 21.0 |
|   18.0   |  30.0 |  11.5 | 15.0 | 19.5  | 23.0 |
|   20.0   |  34.0 |  12.5 | 16.5 | 21.5  | 25.5 |
|   22.0   |  36.0 |  13.5 | 17.5 | 23.5  | 27.5 |
|   24.0   |  40.0 |  14.5 | 19.5 | 25.5  | 30.5 |
|   27.0   |  45.0 |   -   |   -  | 28.5  | 33.5 |
|   30.0   |  48.0 |   -   |   -  | 32.0  | 38.0 |
|   33.0   |  53.0 |   -   |   -  | 35.0  | 41.0 |
|   36.0   |  57.0 |   -   |   -  | 38.0  | 44.0 |
|   39.0   |  60.0 |   -   |   -  | 41.0  | 49.0 |
|   42.0   |  65.0 |   -   |   -  | 44.0  | 52.0 |
|   45.0   |  71.0 |   -   |   -  | 47.0  | 55.0 |
|   48.0   |  75.0 |   -   |   -  | 50.0  | 59.0 |
+------------------------------------------------+

