         РАЗМЕРЫ ОПОРНЫХ ПОВЕРХНОСТЕЙ под потайные и полупотайные
                головки винтов  ГОСТ 12876-67, РАЗМЕРЫ в ММ
+---------------------------------+
| ДИАМЕТР | ДИАМЕТР ОТВ. |ГЛУБИНА |
| РЕЗЬБЫ  | под головку  |ЦИЛИНДР.|
|КРЕПЕЖНОЙ|без ци-|с цил.| ЧАСТИ  |
| ДЕТАЛИ  |линдра |частью|  ( Т ) |
+---------+-------+------+--------|
|   1.0   |   2.4 |   2.0|   0.2  |
|   1.2   |   2.8 |   2.5|   0.2  |
|   1.4   |   3.2 |   2.8|   0.2  |
|   1.6   |   3.7 |   3.3|   0.2  |
|   2.0   |   4.6 |   4.3|   0.2  |
|   2.5   |   5.7 |   5.0|   0.3  |
|   3.0   |   6.6 |   6.0|   0.3  |
|   3.5   |   7.6 |   7.0|   0.3  |
|   4.0   |   8.6 |   8.0|   0.3  |
|   5.0   |  10.4 | 10.0 |   0.3  |
|   6.0   |  12.4 | 11.5 |   0.4  |
|   8.0   |  16.4 | 15.0 |   0.7  |
|   10.0  |  20.4 | 19.0 |   0.7  |
|   12.0  |  24.4 | 23.0 |   1.0  |
|   14.0  |  28.4 | 26.0 |   1.0  |
|   16.0  |  32.4 | 30.0 |   1.2  |
|   18.0  |  36.4 | 34.0 |   1.2  |
|   20.0  |  40.4 | 37.0 |   1.7  |
+---------------------------------+
