 пюглепш нонпмшу онбепумняреи ОНД ГЮЙКЕОЙХ Я ОНРЮИМНИ
 Х ОНКСОНРЮИМНИ ЦНКНБЙНИ цняр 12876-67, пюглепш Б лл
+----------+------------+----+------------+----+
| дхюлерп  |дхюлерп нрб.|    |дхюлерп нрб.|    |
| ярепфмъ  |онд цнкнбйс |сцнк|онд о/онрюи.|сцнк|
| гюйкеойх |            |    |  цнкнбйс   |    |
|          |   ОН м14   |    |   ОН м14   |    |
+----------+------------+----+------------+----+
|   1.0    |    1.7     | 90 |     -      | -  |
|   1.2    |    2.1     | 90 |     -      | -  |
|   1.4    |    2.5     | 90 |     -      | -  |
|   1.6    |    2.7     | 90 |     -      | -  |
|   2.0    |    3.6     | 90 |    6.0     |120 |
|   2.5    |    4.2     | 90 |    7.0     |120 |
|   3.0    |    4.8     | 90 |    8.0     |120 |
|   3.5    |    5.6     | 90 |    9.5     |120 |
|   4.0    |    6.4     | 90 |   10.5     |120 |
|   5.0    |    8.2     | 90 |   13.0     |120 |
|   6.0    |    9.7     | 90 |   11.0     | 90 |
|   8.0    |   13.3     | 90 |   15.0     | 90 |
|   10.0   |   16.4     | 75 |   17.0     | 75 |
|   12.0   |   19.4     | 75 |   20.0     | 75 |
|   14.0   |   23.0     | 75 |   24.0     | 75 |
|   16.0   |   23.0     | 60 |   24.0     | 60 |
|   17.0   |   26.0     | 60 |   27.0     | 60 |
|   20.0   |   29.0     | 60 |   30.0     | 60 |
|   22.0   |   32.0     | 60 |   33.0     | 60 |
|   24.0   |   35.0     | 60 |   36.0     | 60 |
|   27.0   |   36.0     | 45 |   37.0     | 45 |
|   30.0   |   40.0     | 45 |   41.0     | 45 |
|   36.0   |   48.0     | 45 |   49.0     | 45 |
+----------+------------+----+------------+----+

