   Места под гаечные ключи
  ГОСТ 13862-80, РАЗМЕРЫ в ММ
+------+-------+
| Зев  |Диаметр|
|ключа |цековки|
+------+-------+
| 3.2  | 11.0  |
| 4.0  | 12.0  |
| 5.0  | 14.0  |
| 5.5  | 14.0  |
| 7.0  | 16.0  |
| 8.0  | 20.0  |
| 10.0 | 22.0  |
| 11.0 | 26.0  |
| 12.0 | 26.0  |
| 13.0 | 26.0  |
| 14.0 | 26.0  |
| 15.0 | 30.0  |
| 16.0 | 30.0  |
| 17.0 | 30.0  |
| 18.0 | 32.0  |
| 19.0 | 32.0  |
| 21.0 | 36.0  |
| 22.0 | 36.0  |
| 24.0 | 40.0  |
| 27.0 | 45.0  |
| 30.0 | 48.0  |
| 32.0 | 52.0  |
| 34.0 | 60.0  |
| 36.0 | 60.0  |
| 41.0 | 63.0  |
| 46.0 | 70.0  |
| 50.0 | 75.0  |
| 55.0 | 85.0  |
| 60.0 | 95.0  |
| 65.0 | 98.0  |
| 70.0 |105.0  |
| 75.0 |110.0  |
+------+-------+
