    ОТВЕРСТИЯ СКВОЗНЫЕ под крепежные детали ГОСТ 11284-75, РАЗМЕРЫ в ММ
+----------------------------------+
| ДИАМЕТР  |   ДИАМЕТР СКВОЗНОГО   |
| стержня  |      ОТВЕРСТИЯ        |
|крепежной +-----------------------|
| детали   |  1-й  |  2-й  |  3-й  |
|          |  ряд  |  ряд  |  ряд  |
+----------+-------+-------+-------+
|    1.0   |  1.1  |  1.2  |  1.3  |
|    1.2   |  1.3  |  1.4  |  1.5  |
|    1.4   |  1.5  |  1.6  |  1.8  |
|    1.6   |  1.7  |  1.8  |  2.0  |
|    1.8   |  2.0  |  2.1  |  2.2  |
|    2.0   |  2.2  |  2.4  |  2.6  |
|    2.5   |  2.7  |  2.9  |  3.1  |
|    3.0   |  3.2  |  3.4  |  3.6  |
|    3.5   |  3.7  |  3.9  |  4.2  |
|    4.0   |  4.3  |  4.5  |  4.8  |
|    4.5   |  4.8  |  5.0  |  5.3  |
|    5.0   |  5.3  |  5.5  |  5.8  |
|    6.0   |  6.4  |  6.6  |  7.0  |
|    8.0   |  8.4  |  9.0  | 10.0  |
|   10.0   | 10.5  | 11.0  | 12.0  |
|   12.0   | 13.0  | 14.0  | 15.0  |
|   14.0   | 15.0  | 16.0  | 17.0  |
|   16.0   | 17.0  | 18.0  | 19.0  |
|   17.0   | 18.0  | 19.0  | 20.0  |
|   18.0   | 19.0  | 20.0  | 21.0  |
|   20.0   | 21.0  | 22.0  | 24.0  |
|   22.0   | 23.0  | 24.0  | 26.0  |
|   24.0   | 25.0  | 26.0  | 28.0  |
|   27.0   | 28.0  | 30.0  | 32.0  |
|   30.0   | 31.0  | 33.0  | 35.0  |
|   33.0   | 34.0  | 36.0  | 38.0  |
|   36.0   | 37.0  | 39.0  | 42.0  |
|   39.0   | 40.0  | 42.0  | 45.0  |
|   42.0   | 43.0  | 45.0  | 48.0  |
|   45.0   | 46.0  | 48.0  | 52.0  |
|   48.0   | 50.0  | 52.0  | 56.0  |
|   52.0   | 54.0  | 56.0  | 62.0  |
|   56.0   | 58.0  | 62.0  | 66.0  |
+----------------------------------+

    ПРИМЕЧАНИЕ. 3-й ряд отверстий не допускается применять для заклепочных   
                соединений.
                Предельные отклонения диаметров отверстий:
                  а) для 1-го ряда -- по Н12,
                  б) для 2-го  по Н13.


