           ПРЕДЕЛЬНЫЕ ОТКЛОНЕНИЯ ФОРМЫ ЦИЛИНДРИЧЕСКИХ ПОВЕРХНОСТЕЙ
                           ГОСТ 10356-63
+------------------------+---------------------------------------------------+
|    ИНТЕРВАЛЫ           | ПРЕДЕЛЬНЫЕ ОТКЛОНЕНИЯ, мкм, при степени точности  |
|    НОМИНАЛЬНЫХ         +-----+-----+-----+-----+-----+------+-----+--------|
|    ДИАМЕТРОВ,мм        | III |  IV |  V  |  VI | VII | VIII |  IX |  X     |
+------------------------+-----+-----+-----+-----+-----+------+-----+--------+
|  до 6                  | 0.8 | 1.2 |  2.0|  3.0|  5.0|  8.0 | 12.0| 20.0   |
|  св.    6 до   18      | 1.2 | 2.0 |  3.0|  5.0|  8.0| 12.0 | 20.0| 30.0   |
|  св.   18 до   50      | 1.6 | 2.5 |  4.0|  6.0| 10.0| 16.0 | 25.0| 40.0   |
|  св.   50 до  120      | 2.0 | 3.0 |  5.0|  8.0| 12.0| 20.0 | 30.0| 50.0   |
|  св.  120 до  260      | 2.5 | 4.0 |  6.0| 10.0| 16.0| 25.0 | 40.0| 60.0   |
|  св.  260 до  500      | 3.0 | 5.0 |  8.0| 12.0| 20.0| 30.0 | 50.0| 80.0   |
|  св.  500 до  800      | 4.0 | 6.0 | 10.0| 16.0| 25.0| 40.0 | 60.0|100.0   |
|  св.  800 до 1250      | 5.0 | 8.0 | 12.0| 20.0| 30.0| 50.0 | 80.0|120.0   |
|  св. 1250 до 2000      | 6.0 |10.0 | 16.0| 25.0| 40.0| 60.0 |100.0|160.0   |
|                        |     |     |     |     |     |      |     |        |
+------------------------+-----+-----+-----+-----+-----+------+-----+--------+
|                                                                            |
|                 О Т К Л О Н Е Н И Е  Ф О Р М Ы                             |
|                  ЦИЛИНДРИЧЕСКИХ  ПОВЕРХНОСТЕЙ                              |
|                      Н Е К Р У Г Л О С Т Ь                                 |
|-----------+-------------------------------------------+--------------------+
|  III, IV  | Посадочные поверхности подшипников качения| Тонкое точение,    |
|           | классов С и А  и отверстия в корпусах под | шлифование, алмаз- |
|           | эти подшипники                            | ное растачивание,  |
|           | Подшипниковые шейки шпинделей станков     | хонингование       |
|   ***     | повышенной точности.                      |                    |
|   ***     | Цапфы подшипников жидкостного трения в    |                    |
|           | прокатных станах.                         |                    |
|           | Рабочие поверхности плунжерных и золотни- |                    |
|           | ковых пар (при высоких давлениях).        |                    |
|           | Поршневые пальцы автомобильных двигателей |                    |
|-----------+-------------------------------------------+--------------------|
|    V, VI  | Посадочные поверхности подшипников качения| Шлифование, точение|
|           | классов В, П и Н, а также валов и корпусов| хонингование,      |
|           | под них.                                  | растачивание повы- |
|   ***     | Подшипниковые шейки станков нормальной    | шенной точности,   |
|   ***     | точности.                                 | развертывание,     |
|           | Подшипниковые шейки коленчатых валов и    | протягивание       |
|           | вкладыши редукторов, паровых турбин,      |                    |
|           | насосов.                                  |                    |
|           | Цилиндры автомобильных двигателей.        |                    |
|           | Рабочие поверхности золотниковых пар при  |                    |
|           | средних давлениях.                        |                    |
|           | Поршни и цилиндры гидравлических устройств|                    |
|           | насосов и компрессоров при средних давле- |                    |
|           | ниях и уплотнениях поршневыми кольцами.   |                    |
|           | Поверхности соединений втулок с цилиндрами|                    |
|           | и корпусами в гидравлических системах     |                    |
|           | высокого давления, втулок с головками     |                    |
|           | шатуна двигателей                         |                    |
|-----------+-------------------------------------------+--------------------|
| VII, VIII | Поршни и гильзы тракторных двигателей.    | Грубое точение,    |
|           | Поршневые кольца автомобильных и трактор- | шлифование, развер-|
|           | ных двигателей.                           | тывание, протягива-|
|           | Гильзы дизелей и газовых двигателей.      | ние, растачивание, |
|           | Отверстия под втулки в шатунах дизелей,   | сверление повышенно|
|           | компрессоров, тракторных двигателей       | точности           |
|-----------+-------------------------------------------+--------------------|
|    IX, X  | Подшипники скольжения при легких условиях | Грубое точение,    |
|           | работы (лебедки, краны).                  | растачивание,      |
|           | Поршни и цилиндры насосов низких давлений | сверление          |
|           | с мягкими уплотнениями                    |                    |
|-----------+-------------------------------------------+--------------------+
|                                                                            |
|ПРИМЕЧАНИЕ.                                                                 |
|                                                                            |
|   1. ГОСТ 10356-63 предусматривает также I и II степени                    |
|   точности.                                                                |
|   2. Величины, приведенные в таблице, следует непосредственно              |
|   использовать в качестве предельных значений нецилиндричности,            |
|   некруглости, отклонения профиля продольного сечения,                     |
|   огранки, изогнутости. Для получения предельных значений                  |
|   овальности, конусообразности, бочкообразности и седло-                   |
|   образности указанные в таблице величины необходимо                       |
|   удвоить с последующим округлением результата до ближайшего               |
|   предпочтительного числа, приведенного в этой таблице.                    |
|   3. При отсутствии указаний о продольных отклонениях формы                |
|   цилиндрических поверхностей эти отклонения ограничиваются                |
|   полем допуска на диаметр.                                                |
 ----------------------------------------------------------------------------+

