           ПРЕДЕЛЬНЫЕ ОТКЛОНЕНИЯ ОТ ПЛОСКОСТНОСТИ И ПРЯМОЛИНЕЙНОСТИ
                           ГОСТ 10356-63
+-----------------------------------------------------------------------------+
|   ИНТЕРВАЛЫ     | ПРЕДЕЛЬНЫЕ ОТКЛОНЕНИЯ, мкм, при степени точности          |
|   НОМИНАЛЬНЫХ   +-----------------------------------------------------------|
|   ДЛИН, мм      | III |  IV |  V  |  VI | VII | VIII |  IX |  X             |
+-----------------+-----+-----+-----+-----+-----+------+-----+----------------|
| до 10           |  0.6|  1.0|  1.6|  2.5|  4.0|   6.0| 10.0| 16.0           |
| св.   10 до   25|  1.0|  1.6|  2.5|  4.0|  6.0|  10.0| 16.0| 25.0           |
| св.   25 до   60|  1.6|  2.5|  4.0|  6.0| 10.0|  16.0| 25.0| 40.0           |
| св.   60 до  160|  2.5|  4.0|  6.0| 10.0| 16.0|  25.0| 40.0| 60.0           |
| св.  160 до  400|  4.0|  6.0| 10.0| 16.0| 25.0|  40.0| 60.0|100.0           |
| св.  400 до 1000|  6.0| 10.0| 16.0| 25.0| 40.0|  60.0|100.0|160.0           |
| св. 1000 до 2500| 10.0| 16.0| 25.0| 40.0| 60.0| 100.0|160.0|250.0           |
| св. 2500 до 6300| 16.0| 25.0| 40.0| 60.0|100.0| 160.0|250.0|400.0           |
| св. 6300 до10000| 25.0| 40.0| 60.0|100.0|160.0| 250.0|400.0|600.0           |
|                 |     |     |     |     |     |      |     |                |
+-----------------------------------------------------------------------------|
|                                                                             |
|                   Н Е П Л О С К О С Т Н О С Т Ь,                            |
|                  Н Е П Р Я М О Л И Н Е Й Н О С Т Ь                          |
|-----------------------------------------------------------------------------|
|  III, IV  | Направляющие станков повышенной точности. | Доводка, шлифова-   |
|           | Столы плоскошлифовальных, фрезерных и     | ние, шабрение       |
|           | других станков высокой точности           | повышенной точности |
|-----------+-------------------------------------------+---------------------|
|    V, VI  | Направляющие станков нормальной точности. | Шлифование, обтачи- |
|           | Рабочие поверхности столов станков повы-  | вание повышенной    |
|           | шенной и нормальной точности.             | точности            |
|           | Направляющие точных машин и приборов.     |                     |
|           | Поверхности плоских соединений в шесте-   |                     |
|           | ренчатых и винтовых насосах               |                     |
|-----------+-------------------------------------------+---------------------|
| VII, VIII | Направляющие кривошипных и гидравлических | Грубое шлифование,  |
|           | прессов; ползуны.                         | фрезерование,       |
|           | Упорные подшипники машин малой мощности.  | строгание, протяги- |
|           | Базовые поверхности кондукторов и других  | вание, обтачивание  |
|           | технологических приспособлений.           |                     |
|           | Опорные поверхности корпусов подшипников. |                     |
|           | Разьемы корпусов редукторов, масляных     |                     |
|           | насосов, опорных подшипников валопроводов |                     |
|-----------+-------------------------------------------+---------------------|
|    IX, X  | Кронштейн и основания вспомогательных и   | Грубое фрезерование,|
|           | ручных механизмов.                        | строгание, обтачи-  |
|           | Опорные поверхности машин, устанавливаемых| вание, долбление    |
|           | на клиньях и амортизирующих прокладках.   |                     |
|           | Присоединительные поверхности арматуры,   |                     |
|           | фланцев станков (с использованием мягких  |                     |
|           | прокладок)                                |                     |
|-----------------------------------------------------------------------------|
|                                                                             |
|   ПРИМЕЧАНИЕ. ГОСТ 10356-63 предусматривает также I и II степени точности.  |
|               Допускается нормирование плоскостности числом пятен           |
|               на заданной площади при контроле "на краску".                 |
 -----------------------------------------------------------------------------+
 
