                 ПРЕДЕЛЬНЫЕ ЗНАЧЕНИЯ РАДИАЛЬНОГО БИЕНИЯ
                            ГОСТ 10356-63
+------------------+--------------------------------------------------------¬
|    ИНТЕРВАЛЫ     |ПРЕДЕЛЬНЫЕ ЗНАЧЕНИЯ, мкм, при степени точности          |
|    НОМИНАЛЬНЫХ   +----+----+-----+-----+-----+-----+-----+----------------+
|    РАЗМЕРОВ, мм  | III| IV |  V  |  VI | VII | VIII|  IX |  X             |
+------------------+----+----+-----+-----+-----+-----+-----+----------------+
|   до 6           |  3 |  5 |   8 |  12 |  20 |  30 |  50 |  80            |
|   св.   6 до  18 |  4 |  6 |  10 |  16 |  25 |  40 |  60 | 100            |
|   св.  18 до  50 |  5 |  8 |  12 |  20 |  30 |  50 |  80 | 120            |
|   св.  50 до 120 |  6 | 10 |  16 |  25 |  40 |  60 | 100 | 160            |
|   св. 120 до 260 |  8 | 12 |  20 |  30 |  50 |  80 | 120 | 200            |
|   св. 260 до 500 | 10 | 16 |  25 |  40 |  60 | 100 | 160 | 250            |
|   св. 500 до 800 | 12 | 20 |  30 |  50 |  80 | 120 | 200 | 300            |
|   св. 800 до1250 | 16 | 25 |  40 |  60 | 100 | 160 | 250 | 400            |
|   св.1250 до2000 | 20 | 30 |  50 |  80 | 120 | 200 | 300 | 500            |
|                  |    |    |     |     |     |     |     |                |
+------------------+----+----+-----+-----+-----+-----+-----+----------------|
|                                                                           |
|                       Н Е С О О С Н О С Т Ь,                              |
|                  Р А Д И А Л Ь Н О Е   Б И Е Н И Е                        |
 -----------+-------------------------------------------+-------------------+
|   III, IV | Рабочие поверхности шпинделей, столов и   | Тонкое шлифование,|
|           | станков повышенной и нормальной точности, | точение, внутренне|
|           | токарных автоматов и полуавтоматов высокой| шлифование с одной|
|           | и повышенной точности.                    | установки         |
|           | Посадочные шейки валов под зубчатые колеса|                   |
|           | 4 и 5-й степеней точности.                |                   |
|           | Быстроходные валы при частоте вращения    |                   |
|           | 3000 -- 10000 об/мин.                     |                   |
|           | Конус иглы форсунки                       |                   |
|-----------+-------------------------------------------+-------------------|
|    V, VI  | Рабочие поверхности токарных автоматов и  | Шлифование, обтачи|
|           | полуавтоматов нормальной точности.        | вание повышенной  |
|           | Втулки станочные повышенной точности.     | точности,         |
|           | Посадочные поверхности валиков и осей     | внутреннее шлифова|
|           | точных приборов и механизмов.             | ние, растачивание |
|           | Посадочные поверхности валов под зубчатые | с одной установки |
|           | колеса 6 и 7-й степеней точности.         |                   |
|           | Опорные шейки коленчатого и распредели-   |                   |
|           | тельного валов автомобильных двигателей.  |                   |
|           | Быстроходные валы повышенной точности     |                   |
|-----------+-------------------------------------------+-------------------|
|  VII, VIII| Посадочные шейки валов под зубчатые колеса| Грубое шлифование,|
|           | 8 и 9-й степеней точности.                | обтачивание,      |
|           | Коренные шейки коленчатого вала дизелей и | растачивание      |
|           | газовых двигателей.                       |                   |
|           | Шейки распределительного вала тракторного |                   |
|           | двигателя.                                |                   |
|           | Быстроходные валы нормальной точности (до |                   |
|           | 1000 об/мин).                             |                   |
|           | Фаска клапана и гнездо под клапан в авто- |                   |
|           | мобильных двигателях.                     |                   |
|           | Зубчатые колеса с обработанными зубьями в |                   |
|           | сельскохозяйственных машинах              |                   |
|-----------+-------------------------------------------+-------------------|
|    IX, X  | Посадочные шейки валов под зубчатые колеса| Обтачивание,      |
|           | 10 и 11-й степеней точности.              | растачивание пони-|
|           | Посадочные поверхности гильзы цилиндра    | женной точности   |
|           | тракторных двигателей.                    |                   |
|           | Пояски и канавки для колец автомобильного |                   |
|           | поршня                                    |                   |
|-----------+-------------------------------------------+-------------------|
|                                                                           |
|    ПРИМЕЧАНИЕ. 1. ГОСТ 10356-63 предусматривает также I и II степени      |
|                точности.                                                  |
|                2. Для получения предельных значений несоосности и несиммет|
|                ричности в случае, если оговариваются независимым допуском,|
|                указанные в таблице величины должны уменьшаться вдвое с    |
|                последующим округлением результата до ближайшего предпочти-|
|                тельного числа, приведенного в этой таблице.               |
 ----------------------------------------------------------------------------  

