       Размеры трубных цилиндрических резьб
              и проточек под них в мм.
+-------------+----+-------+-------------------------+-----+------+---+---+---+---¬
| Обозначение |Чис |Наpуж- |       пpоточка          |     |Высота|Чис|Фас|нед|нед|
|    pезьбы   |ло  | ный   | ноpмальная |   узкая    |     |проф. |ло |ка |оре|оре|
|------+------+на  |диаметp+----+---+---+----+---+---+     |pезьбы|на |   |з  |з  |
|1 pяд |2 pяд |1"  |       |  b | r |r1 | b  | r |r1 | d3  |      |1" |   |нрм|умн|
+------+------+----+-------+----+---+---+----+---+---+-----+------+---+---+---+---+
|1/8"         | 28 |  9.728| 4  |1  |0.5| 2.5|1  |0.5|d+0.3| 0.581|28 | 1 |  4|2.5|
|1/4"         | 19 | 13.157| 5.0|1.6|0.5| 3  |1  |0.5|d+0.4| 0.856|19 | 1 |  5|3  |
|3/8"         | 19 | 16.662| 5.0|1.6|0.5| 3  |1  |0.5|d+0.4| 0.856|19 | 1 |  5|3  |
|1/2"         | 14 | 20.955| 8  |2  |1  | 5  |1  |0.5|d+0.5| 1.162|14 |1.6|  8|5  |
|        5/8" | 14 | 22.911| 8  |2  |1  | 5  |1.6|0.5|d+0.5| 1.162|14 |1.6|  8|5  |
|3/4"         | 14 | 26.441| 8  |2  |1  | 5  |1.6|0.5|d+0.5| 1.162|14 |1.6|  8|5  |
|        7/8" | 14 | 30.201| 8  |2  |1  | 5  |1.6|0.5|d+0.8| 1.162|14 |1.6|  8|5  |
|1"           | 11 | 33.249| 10 |3  |1  | 6  |1.6|1  |d+0.8| 1.479|11 |1.6| 10|6  |
|       1 1/8"| 11 | 37.897| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|1 1/4"       | 11 | 41.910| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       1 3/8"| 11 | 44.323| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|1 1/2"       | 11 | 47.803| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       1 3/4"| 11 | 53.746| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|2"           | 11 | 59.614| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       2 1/4"| 11 | 65.710| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|2 1/2"       | 11 | 75.184| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       2 3/4"| 11 | 81.534| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|3"           | 11 | 87.884| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       3 1/4"| 11 | 93.980| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|3 1/2"       | 11 |100.330| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       3 3/4"| 11 |106.680| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|4"           | 11 |113.030| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       4 1/2"| 11 |125.730| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|5"           | 11 |138.430| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
|       5 1/2"| 11 |151.130| 10 |3  |1  | 6  |1.6|1  |d+1  | 1.479|11 |1.6| 10|6  |
+-------------+----+-------+----+---+---+----+---+---+-----+------+---+---+---+---+
