             йнмхвеяйхе дчилнбше пегэаш я сцкнл опнтхкъ 60 ЦПЮД.
                            ОН  цняр 6111-52
+--------------+----------+-----+------+-------+---------+---------+---------+
| нангмювемхе  | дхюлерп  | пъд | ьюц  |дкхмю  |дкхмю дн | цксахмю |  тюяйю  |
|   пегэаш     | пегэаш б |     |пегэаш|пегэаш |нямнбмни |нрбепярхъ|         |
|              | нямнбмни |     |      |       |окняйнярх|         |         |
|              | окняй. ЛЛ|     | п, ЛЛ| L, ЛЛ |  L1,ЛЛ  | L2, ЛЛ  |   ЛЛ    |
+--------------+----------+-----+------+-------+---------+---------+---------+
| й1/16"       |   7.895  |  1  | 0.941|  10   |   4.064 |  13.0   |   1.0   |
| й1/8"        |  10.272  |  1  | 0.941|  11   |   4.572 |  14.0   |   1.0   |
| й1/4"        |  13.572  |  1  | 1.411|  15   |   5.080 |  20.0   |   1.5   |
| й3/8"        |  17.055  |  1  | 1.411|  16   |   6.096 |  21.0   |   1.5   |
| й1/2"        |  21.223  |  1  | 1.814|  21   |   8.128 |  26.5   |   1.5   |
| й3/4"        |  26.568  |  1  | 1.814|  21   |   8.611 |  26.5   |   1.5   |
| й1"          |  33.228  |  1  | 2.209|  26   |  10.160 |  33.5   |   2.0   |
| й1 1/4"      |  41.985  |  1  | 2.209|  27   |  10.668 |  34.5   |   2.0   |
| й1 1/2"      |  48.054  |  1  | 2.209|  27   |  10.668 |  34.5   |   2.0   |
+--------------+----------+-----+------+-------+---------+---------+---------+

