                   РАЗМЕРЫ МЕТРИЧЕСКОЙ КОНИЧЕСКОЙ РЕЗЬБЫ
                      по  ГОСТ 25229-82, размеры в мм
+--------------------------------------------------------------------------------------+
| ОБОЗНАЧЕНИЕ  | ДИАМЕТР  | РЯД | ШАГ  |ДЛИНА  |ДЛИНА ДО | ГЛУБИНА |  ФАСКА  | ДИАМЕТР |
|   РЕЗЬБЫ     | РЕЗЬБЫ В |     |РЕЗЬБЫ|РЕЗЬБЫ |ОСНОВНОЙ |ОТВЕРСТИЯ|         |ОТВЕРСТИЯ|
|              | ОСНОВНОЙ |     |      |       |ПЛОСКОСТИ|         |         |         |
|              | ПЛОСК. мм|     | Р, мм| L, мм |  L2,мм  | Lо, мм  |   мм    |   мм    |
+--------------+----------+-----+------+-------+---------+---------+---------+---------|
| МК6х1        |    6     |  1  | 1    |   8   |    3    |  11.0   |   1     |  5.011  |
| МК8х1        |    8     |  1  | 1    |   8   |    3    |  11.0   |   1     |  7.011  |
| МК10х1       |   10     |  1  | 1    |   8   |    3    |  11.0   |   1     |  9.011  |
| МК12х1.5     |   12     |  1  | 1.5  |  11   |    4    |  16.0   |   1.5   | 10.501  |
| МК16х1.5     |   16     |  1  | 1.5  |  11   |    4    |  16.0   |   1.5   | 14.501  |
| МК20х1.5     |   20     |  1  | 1.5  |  11   |    4    |  16.0   |   1.5   | 18.501  |
| МК24х1.5     |   24     |  1  | 1.5  |  11   |    4    |  16.5   |   1.5   | 22.501  |
|              |          |     |      |       |         |         |         |         |
| МК14х1.5     |   14     |  2  | 1.5  |  11   |    4    |  16.0   |   1.5   | 12.501  |
| МК18х1.5     |   18     |  2  | 1.5  |  11   |    4    |  16.0   |   1.5   | 16.501  |
| МК22х1.5     |   22     |  2  | 1.5  |  11   |    4    |  16.5   |   1.5   | 20.501  |
+--------------------------------------------------------------------------------------+
   Примечание. 1.Допускается применение меньших длин pезьб.
               2. При выборе диаметров резьб первый ряд следует
                  предпочитать второму.

