      йнмхвеяйхе рпсамше пегэаш я сцкнл опнтхкъ 55 ЦПЮД  ОН  цняр 6211-81
+----------------------------------------------------------------------------+
| нангмювемхе  | дхюлерп  | пъд | ьюц  |дкхмю  |дкхмю дн | цксахмю |  тюяйю  |
|   пегэаш     | пегэаш б |     |пегэаш|пегэаш |нямнбмни |нрбепярхъ|         |
|              | нямнбмни |     |      |       |окняйнярх|         |         |
|              | окняй. ЛЛ|     | п, ЛЛ| L, ЛЛ |  L1,ЛЛ  | L2, ЛЛ  |   ЛЛ    |
+--------------+----------+-----+------+-------+---------+---------+---------|
| Rc 1/8       |   9.728  |  1  | 0.907|   6.5 |   4.00  |   9.5   |   1.0   |
| Rc 1/4       |  13.157  |  1  | 1.337|   9.7 |   6.00  |  14.5   |   1.0   |
| Rc 3/8       |  16.662  |  1  | 1.337|  10.1 |   6.40  |  15.0   |   1.5   |
| Rc 1/2       |  20.955  |  1  | 1.814|  13.2 |   8.20  |  19.0   |   1.5   |
| Rc 3/4       |  26.441  |  1  | 1.814|  14.5 |   9.50  |  20.0   |   1.5   |
| Rc 1         |  33.249  |  1  | 2.309|  16.8 |  10.40  |  24.0   |   1.5   |
| Rc 1 1/4     |  41.910  |  1  | 2.309|  19.1 |  12.70  |  26.5   |   2.0   |
| Rc 1 1/2     |  47.803  |  1  | 2.309|  19.1 |  12.70  |  26.5   |   2.0   |
| Rc 2         |  59.614  |  1  | 2.309|  23.4 |  15.90  |  31.5   |   2.0   |
| Rc 2 1/2     |  75.184  |  1  | 2.309|  26.7 |  17.50  |  34.5   |   2.5   |
| Rc 3         |  87.884  |  1  | 2.309|  29.8 |  20.60  |  38.0   |   2.5   |
| Rc 4         | 113.030  |  1  | 2.309|  35.8 |  25.40  |  45.0   |   3.0   |
| Rc 5         | 138.430  |  1  | 2.309|  40.1 |  28.60  |  50.0   |   3.0   |
| Rc 6         | 163.830  |  1  | 2.309|  40.1 |  28.60  |  50.0   |   3.0   |
+----------------------------------------------------------------------------+

