 
    ОТВЕРСТИЯ ПОД РЫМ-БОЛТЫ
   ГОСТ 4751-73, РАЗМЕРЫ в ММ

+----------------------------------+
| ДИАМЕТР  |Диаметр|Глубина|Глубина|
|          |       |       |       |
| РЕЗЬБЫ   |цековки|цековки|резьбы |
|          |       |       |       |
+----------+-------+-------+-------+
|    8.0   | 13.0  |  5.0  |  19.0 |
|   10.0   | 15.0  |  6.0  |  22.0 |
|   12.0   | 17.0  |  6.0  |  26.0 |
|   16.0   | 22.0  |  7.0  |  33.0 |
|   20.0   | 28.0  |  9.0  |  39.0 |
|   24.0   | 32.0  | 10.0  |  47.0 |
|   30.0   | 38.0  | 11.0  |  57.0 |
|   36.0   | 45.0  | 12.0  |  65.0 |
|   42.0   | 52.0  | 14.0  |  74.0 |
|   48.0   | 60.0  | 14.0  |  84.0 |
|   56.0   | 68.0  | 17.0  |  97.0 |
|   64.0   | 75.0  | 17.0  | 112.0 |
|   72.0   | 85.0  | 17.0  | 117.0 |
|   80.0   | 95.0  | 17.0  | 127.0 |
|  100.0   |115.0  | 17.0  | 152.0 |
+----------------------------------+

